CD_CLIENTE;MRR_12M_median
T05353;154.483378
T05357;1460.490254
T05395;975.7557
T05409;963.06105
T05435;2247.749085
T05500;3501.197622
T05512;1889.89936
T05513;624.690727
T05519;4547.769441
T05563;156.7593
T05606;345.844748
T05615;305.170724
T05618;193.717487
T05621;202.897568
T05661;327.8747
T05690;898.472459
T05691;2127.416124
T05704;305.864636
T05720;4373.632183
T05723;358.052049
T05748;1677.614162
T05762;213.500391
T05787;536.068391
T05793;388.412904
T05797;590.041508
T05808;736.133831
T05809;718.931569
T05816;364.15728
T05821;988.7361
T05830;611.093535
T05914;517.739801
T05948;872.33925
T05953;486.963531
T05958;572.337718
T05967;1855.977269
T05995;810.354633
T06008;392.108903
T06016;286.781472
T06096;254.893453
T06131;2328.550506
T06148;1598.695728
T06178;1135.435766
T06187;2110.675948
T06198;719.046394
T06200;927.362079
T06209;494.157926
T06253;243.573689
T06336;228.792686
T06341;674.110448
T06358;327.086038
T06375;80.095193
T06381;287.623313
T06425;583.00953
T06435;307.879121
T06449;1727.310024
T06468;1419.897082
T06475;753.836444
T06486;250.486442
T06525;549.485776
T06542;982.509243
T06552;1067.148792
T06574;915.250781
T06575;580.543324
T06583;2715.514696
T06610;466.874578
T06619;1080.353838
T06638;1325.208108
T06654;170.180606
T06661;4415.625181
T06682;1215.416905
T06684;1291.350045
T06731;327.303326
T06816;303.545206
T06883;1749.566422
T06914;1153.269246
T06925;215.139116
T06937;1630.833911
T06961;746.270349
T07049;2481.840507
T07061;307.057826
T07073;561.827561
T07145;124.201767
T07157;1076.539314
T07174;271.665244
T07244;346.502943
T07272;502.166737
T07296;518.177191
T07300;2977.238949
T07372;111.114706
T07389;373.077082
T07396;235.507684
T07402;116.85153
T07413;527.376554
T07422;156.577444
T07446;1569.235095
T07457;1071.254709
T07472;506.635105
T07483;1574.639723
T07499;822.136934
T07504;188.751065
T07537;1192.458824
T07542;1378.524704
T07543;536.257092
T07544;723.829343
T07562;1005.444165
T07578;700.402735
T07589;362.236046
T07602;487.860704
T07614;380.053203
T07616;131.560136
T07621;426.481846
T07650;288.641263
T07651;1060.895654
T07654;414.073194
T07673;955.309566
T07677;2497.902765
T07678;277.886081
T07682;323.732642
T07684;1356.163505
T07726;269.911209
T07742;1413.931842
T07748;178.764007
T07762;5480.681093
T07781;270.930581
T07784;1188.36446
T07800;1112.605896
T07810;193.40344
T07826;806.745924
T07849;821.884715
T07880;107.910541
T07884;1930.946701
T07885;236.210541
T07890;118.153896
T07912;859.958771
T07947;265.692178
T07984;843.551207
T08043;1106.778427
T08085;1092.17555
T08111;516.946776
T08115;1197.465467
T08138;195.445067
T08223;2807.96698
T08225;725.559557
T08245;1316.396791
T08257;659.72364
T08292;823.132959
T08298;183.169658
T08322;580.741275
T08368;473.608825
T08383;1089.614938
T08391;324.17335
T08433;1007.461855
T08492;1248.323954
T08539;619.7566
T08807;1007.142455
T08810;2750.016837
T08822;804.182855
T08855;2848.19518
T08881;660.161036
T08886;358.81644
T08909;3116.041509
T08930;59.822992
T08938;213.159498
T08946;2444.295723
T08976;525.330117
T09016;55.271346
T09068;367.415193
T09092;1215.768808
T09104;559.838166
T09105;68.917316
T09129;2116.107506
T09163;1503.8952
T09168;194.969834
T09170;5301.525422
T09188;360.045799
T09190;1743.110747
T09248;628.577569
T09269;213.194498
T09408;1052.952313
T09428;1316.703303
T09440;1630.042272
T09444;1173.946928
T09450;1857.871041
T09466;1288.471357
T09481;1747.301529
T09487;184.620425
T09502;200.91378
T09514;1102.75413
T09519;74.165802
T09580;270.294794
T09590;1443.093116
T09624;1919.196112
T09633;5338.889474
T09656;347.597781
T09724;307.255086
T09736;1260.133409
T09755;325.972604
T09800;318.495544
T09817;347.838349
T09845;346.789452
T09851;353.566087
T09860;2294.843186
T09869;209.825954
T09935;879.211734
T09969;153.289367
T09978;190.877971
T09979;1584.757188
T09981;240.90137
T10010;399.302457
T10019;148.807839
T10022;122.932793
T10041;612.756204
T10084;332.245492
T10090;784.294891
T10110;244.846285
T10121;218.260527
T10145;1643.145486
T10159;320.639538
T10179;278.683825
T10182;492.115075
T10199;101.821952
T10216;369.137108
T10219;536.892603
T10247;433.626911
T10289;2507.599985
T10391;243.868147
T10392;424.306918
T10402;320.277098
T10406;663.712207
T10413;964.736423
T10415;2013.203938
T10471;7524.341371
T10494;1242.905939
T10560;812.445882
T10570;1153.389302
T10661;151.048836
T10679;697.637036
T10680;636.018782
T10698;1470.800828
T10703;787.499431
T10731;1569.093966
T10752;343.706893
T10765;450.329335
T10859;389.92752
T10869;64.654565
T10872;228.990202
T10881;547.479896
T10944;1272.212939
T10952;601.33486
T10967;458.801757
T10981;299.491084
T10982;176.047787
T10983;1644.788298
T11026;484.997072
T11036;2117.995414
T11037;662.500454
T11071;1202.76314
T11082;227.546823
T11094;788.515724
T11117;394.899696
T11157;79.334895
T11161;135.935261
T11271;3791.314527
T11287;509.619771
T11293;305.290645
T11318;536.087443
T11387;883.194538
T11432;185.33837
T11454;2536.68846
T11510;490.25868
T11527;210.461591
T11561;294.82781
T11564;285.457679
T11577;97.422892
T11623;765.602018
T11677;1049.093625
T11727;1259.273563
T11754;596.246801
T11806;276.460954
T11855;2215.789713
T11871;650.667605
T11906;694.827874
T11910;585.699625
T11933;5236.27098
T11950;126.466258
T12016;1161.002978
T12062;965.956014
T12096;2084.915866
T12098;393.656136
T12132;701.139917
T12183;313.030262
T12221;888.458279
T12230;466.758852
T12248;754.567389
T12276;243.225378
T12280;918.874164
T12315;71.824953
T12357;652.176692
T12368;1590.583584
T12377;997.449904
T12393;206.403716
T12395;307.941318
T12416;264.720781
T12450;1611.828495
T12464;585.461306
T12467;266.947552
T12505;315.801572
T12530;327.285429
T12552;137.888569
T12562;773.812273
T12582;367.376716
T12595;621.037377
T12653;1720.835498
T12690;2707.50856
T12712;179.117435
T12757;622.109
T12817;132.130517
T12825;436.766583
T12864;1329.144093
T12870;199.766381
T12915;461.072025
T12953;2372.023172
T12969;2336.614426
T13017;1567.742226
T13019;230.547089
T13023;496.114139
T13046;218.126865
T13047;206.37202
T13065;716.132931
T13109;142.978419
T13131;9.525719
T13275;217.360578
T13320;600.502883
T13347;3459.052986
T13388;786.335869
T13454;646.232228
T13468;825.939857
T13481;865.351491
T13485;2660.590143
T13614;315.518187
T13617;140.285145
T13629;1936.907686
T13640;182.39426
T13659;4148.016915
T13661;309.845307
T13666;123.80304
T13697;101.313516
T13724;167.238484
T13777;573.267717
T13780;988.354792
T13796;108.781862
T13825;627.421312
T13830;388.771794
T13852;954.694212
T13857;166.563555
T13864;236.054796
T13875;13611.998494
T13918;998.069906
T13934;241.35211
T13935;1119.679339
T13937;1235.565448
T13941;238.623208
T14012;2083.198034
T14063;607.775218
T14072;543.262709
T14081;1697.648705
T14119;8727.535453
T14167;224.483428
T14189;2512.547508
T14190;660.273428
T14228;2148.410587
T14245;329.754711
T14264;361.423634
T14319;80.524055
T14333;1177.485267
T14354;1424.844155
T14390;623.199068
T14398;2091.985335
T14431;431.640471
T14439;301.767211
T14449;616.431483
T14450;79.001996
T14466;444.224075
T14472;6097.481785
T14475;872.557264
T14511;1518.961017
T14535;106.370828
T14539;368.914463
T14551;178.531516
T14588;216.309935
T14596;97.551943
T14622;277.662054
T14650;146.704345
T14705;257.75143
T14744;1230.808897
T14749;1060.084661
T14772;617.292398
T14841;419.173193
T14847;95.615834
T14861;194.575947
T14917;195.084623
T14930;134.697883
T14950;120.38271
T15003;1176.847949
T15011;325.053972
T15034;751.73912
T15035;456.236679
T15045;2579.920663
T15055;125.036308
T15061;334.962604
T15062;476.946929
T15074;201.50203
T15080;276.967774
T15086;2347.377061
T15122;209.574442
T15127;183.89837
T15135;1459.097698
T15138;1894.914957
T15140;337.253463
T15144;133.836399
T15145;493.588429
T15159;583.58592
T15162;191.424262
T15169;894.636467
T15172;1188.196822
T15173;443.4448
T15176;220.447458
T15225;1652.390397
T15232;545.381617
T15283;355.390224
T15289;437.794466
T15314;1540.402639
T15319;172.186552
T15331;299.940703
T15389;567.320325
T15393;1973.485971
T15456;769.787379
T15467;496.506827
T15510;716.239757
T15526;2015.507958
T15532;697.17773
T15550;907.308834
T15560;966.995847
T15561;251.182651
T15583;9985.630602
T15628;120.990406
T15633;286.992864
T15644;1090.74802
T15648;471.272228
T15650;2850.954282
T15669;154.510078
T15688;223.269387
T15691;176.559006
T15697;593.161449
T15732;156.927893
T15737;77.000865
T15747;184.478424
T15753;169.404571
T15780;457.370639
T15822;1293.873808
T15837;469.421105
T15854;343.595596
T15860;170.708381
T15865;1050.268763
T15878;339.128541
T15893;1279.973258
T15900;163.16922
T15970;126.938215
T15971;849.577174
T15978;1113.624132
T15998;495.129832
T16015;315.523247
T16055;159.919041
T16062;974.183289
T16072;433.921737
T16103;2000.503745
T16127;177.762655
T16132;65.792964
T16167;301.878396
T16194;538.122142
T16208;309.331711
T16210;375.275077
T16221;805.989087
T16230;551.344166
T16235;798.204773
T16236;120.269488
T16237;919.305929
T16250;254.558909
T16261;312.356884
T16268;379.139677
T16279;469.544139
T16284;146.939834
T16313;351.393664
T16326;1184.848651
T16333;489.940074
T16397;486.528581
T16411;309.087365
T16428;196.186679
T16438;606.966831
T16447;140.750494
T16451;2757.191259
T16472;818.75141
T16514;669.203734
T16523;548.148168
T16528;358.334942
T16544;422.172316
T16545;142.559398
T16546;264.069337
T16565;2189.667391
T16567;178.481961
T16579;725.794273
T16582;1080.44577
T16588;606.877991
T16590;740.96214
T16597;3179.335288
T16602;4618.19355
T16603;390.766076
T16607;381.421033
T16616;3912.602811
T16621;641.129236
T16639;1978.257005
T16646;922.695331
T16649;1672.419875
T16660;474.225507
T16667;279.914646
T16677;314.881528
T16695;297.046429
T16696;182.500351
T16716;237.391559
T16732;1201.63724
T16736;206.10852
T16751;2235.927783
T16755;420.102396
T16758;428.262924
T16759;305.25465
T16765;531.296009
T16800;456.211736
T16834;705.923725
T16863;174.145799
T16867;1044.549407
T16878;768.255483
T16880;209.56361
T16885;1004.121838
T16898;1395.260789
T16926;64.643915
T16927;1814.078858
T16951;586.531324
T16961;1628.123415
T16970;238.728882
T16971;590.591969
T16976;955.264707
T16981;453.668079
T16989;662.180234
T16995;561.905571
T17041;251.524293
T17062;91.21082
T17078;257.211779
T17085;405.496374
T17094;313.148858
T17136;1023.29317
T17146;660.426388
T17149;243.609388
T17152;435.0695
T17193;461.369702
T17212;473.440186
T17217;937.465798
T17230;622.245345
T17243;345.052658
T17271;553.380644
T17272;861.89119
T17274;1327.031321
T17275;819.905089
T17299;321.353889
T17312;624.043972
T17319;797.414028
T17321;303.533467
T17325;232.067389
T17348;1255.434209
T17391;479.122247
T17405;190.171337
T17423;127.125132
T17432;779.37883
T17433;618.158448
T17436;1754.485707
T17526;326.811913
T17812;116.951311
T17816;2694.814041
T17891;769.178318
T17941;8826.184128
T17987;1617.378631
T17997;914.873582
T18038;891.916892
T18071;955.063456
T18087;2760.534406
T18287;1090.256718
T18363;873.306571
T18952;161.668532
T18982;155.368012
T19263;494.833948
T19295;967.233851
T19328;340.90576
T19433;338.052074
T19463;168.40957
T19482;230.19362
T19654;389.331975
T19751;467.806415
T19828;582.389841
T20139;776.803316
T20214;126.723178
T20326;512.664302
T20520;192.238529
T20563;1951.14426
T20697;246.326017
T20957;767.317013
T20966;1442.799096
T20994;954.563249
T21044;1740.010785
T21048;813.637833
T21130;764.320123
T21296;455.178773
T21308;752.162789
T21326;161.977374
T21416;115.596194
T21424;183.389235
T21528;289.15505
T21576;7479.544905
T21668;116.397906
T21777;493.015587
T21846;414.456496
T21852;661.366686
T21883;291.312952
T21961;846.166636
T22081;224.587476
T22175;745.587277
T22211;551.61279
T22247;611.286769
T22345;672.439824
T22396;456.083075
T22520;3351.018912
T22532;440.953603
T22629;696.221029
T22643;1094.454843
T22665;302.79005
T22754;377.390403
T22782;668.042936
T22870;804.979062
T22884;551.074126
T22893;756.897011
T23009;584.554667
T23177;416.984007
T23228;1031.994794
T23248;252.077064
T23280;383.424071
T23296;5161.255162
T23398;959.121996
T23438;1335.935397
T23546;784.950744
T23569;865.116823
T23615;405.358997
T23632;1881.545665
T23659;228.78793
T23793;390.893091
T23824;663.527257
T24024;3278.910581
T24234;498.028491
T24288;2775.035773
T24293;1091.947378
T24360;201.47391
T24389;262.289527
T24393;870.913674
T24410;126.164698
T24598;900.047544
T24711;492.649725
T24898;876.30738
T25006;1270.51823
T25029;195.909984
T25037;828.223463
T25084;2762.627998
T25103;386.466821
T25106;101.819772
T25254;1842.522497
T25256;419.858953
T25303;174.521989
T25567;2812.25206
T25606;900.985132
T25667;123.024699
T25719;633.601569
T25951;248.015038
T25978;933.699328
T26027;67.2428
T26177;80.689751
T26188;105.596007
T26230;262.195022
T26249;222.657605
T26272;1285.465776
T26313;2322.336325
T26323;3643.072919
T26584;628.792619
T26793;109.988571
T26845;1112.89337
T26902;644.151126
T26955;192.685362
T27008;789.368066
T27027;845.520215
T27030;254.18028
T27050;234.639527
T27051;388.646386
T27075;228.819818
T27168;863.017235
T27211;126.257057
T27656;700.66369
T27699;111.437637
T27744;1005.077669
T27782;1614.213628
T27866;186.240039
T27897;91.338259
T28036;73.28059
T28098;1122.038657
T28165;1077.605905
T28250;195.478744
T28266;16.73409
T28317;265.159943
T28442;802.693247
T28477;391.605874
T28597;77.753044
T28938;500.989235
T29119;493.453087
T29133;1551.712353
T29192;475.72902
T29324;1178.306748
T29393;547.107705
T29465;1155.393518
T29501;157.859048
T29632;1327.413132
T29710;749.439614
T29941;849.7019
T29956;1022.012976
T29964;11329.171
T30009;292.348394
T30059;296.131273
T30236;327.516784
T30299;833.945535
T30414;316.755998
T30420;549.62266
T30443;566.661316
T30580;196.515073
T30589;529.782281
T30616;741.623947
T30667;139.038109
T30730;341.509131
T30802;454.501962
T30884;1021.793989
T30893;203.957917
T30925;741.552393
T31130;850.968059
T31146;1364.35691
T31188;382.793921
T31424;2389.643154
T31440;729.144316
T31446;1087.444403
T31489;1096.995178
T31587;718.707947
T31660;2231.763048
T31748;397.493507
T31787;278.915055
T31812;1096.74615
T31823;1013.104147
T31846;541.561101
T31926;964.185768
T31939;145.803576
T32013;431.41946
T32062;374.206818
T32065;479.516542
T32108;1597.893992
T32126;938.173887
T32403;134.70714
T32484;100.151296
T32634;400.738752
T32650;174.708567
T32730;298.590222
T32772;767.090965
T32848;2896.009314
T33051;555.74829
T33094;219.022198
T33230;199.646791
T33271;3482.608765
T33319;32086.362299
T33320;228.771183
T33327;368.802071
T33358;652.587524
T33399;384.859261
T33428;1434.201555
T33437;1689.301866
T33815;980.721621
T33882;667.458783
T34101;1930.034865
T34103;941.086091
T34111;347.788288
T34142;1050.038544
T34371;97.827391
T34551;197.343038
T34593;545.927718
T34636;1469.536114
T34643;557.766244
T34693;2569.963845
T34781;355.375045
T34846;52.594459
T34957;689.528282
T35033;2414.958325
T35043;493.793494
T35077;306.979881
T35094;3441.132137
T35116;5853.465558
T35130;115.633966
T35269;153.523236
T35324;763.987307
T35384;565.133272
T35387;48.548623
T35446;317.028991
T35453;2377.625661
T35463;367.83219
T35475;276.8162
T35509;706.101667
T35530;1344.773918
T35575;731.665274
T35673;2131.312894
T35769;753.378937
T35861;72.1598
T35866;1983.694084
T36084;721.888945
T36158;1052.459413
T36201;160.787334
T36222;323.842878
T36224;289.932776
T36279;92.552544
T36286;882.921707
T36316;219.693663
T36359;370.021797
T36368;1610.687051
T36438;495.667012
T36732;3525.674356
T36739;925.499817
T36761;550.259105
T36812;1304.0567
T36826;586.473492
T36994;618.971804
T37019;334.80662
T37041;309.914688
T37094;1210.321693
T37134;60.167976
T37142;209.352997
T37194;1225.320226
T37238;485.225777
T37248;1132.529775
T37265;582.302107
T37391;799.363887
T37445;2891.822626
T37473;1298.515005
T37506;70.972996
T37593;1125.885332
T37701;334.081978
T37733;19.77931
T37736;1167.679988
T37830;357.94344
T37831;438.784382
T37851;2184.547993
T37932;1367.331567
T37983;555.717929
T38002;154.553975
T38021;249.344639
T38088;183.822717
T38204;242.825035
T38256;1000.687799
T38369;98.863514
T38502;6761.687927
T38515;1405.887288
T38653;130.911582
T38667;2153.595908
T38839;315.661481
T39299;482.992733
T39512;342.33746
T39536;2802.973208
T39621;242.756473
T39793;4661.960644
T39838;123.3146
T39903;647.371603
T39941;2200.75006
T39943;101.114423
T40020;596.216663
T40143;2265.71579
T40217;579.823737
T40259;2486.284871
T40339;1889.051401
T40380;1048.065522
T40977;359.744081
T41056;246.644385
T41068;4350.142145
T41089;2569.469628
T41096;1441.631971
T41149;486.951231
T41316;2541.58147
T41352;893.193423
T41415;248.33897
T41835;649.021152
T41869;1257.360156
T41917;764.02782
T42060;1171.721045
T42063;2455.065059
T42079;597.449318
T42091;263.160565
T42110;426.815536
T42168;1519.573819
T42247;206.438271
T42299;629.636335
T42308;1831.480623
T42326;94.579847
T42367;148.833042
T42415;209.330744
T42463;1497.819413
T42496;1148.483401
T42506;492.766826
T42559;685.739841
T42601;272.41863
T42748;23620.718516
T42836;1475.468276
T42892;1332.776782
T42902;336.088048
T43025;1605.762412
T43026;100.263866
T43055;92.10415
T43087;1445.451309
T43110;2485.633347
T43130;518.735139
T43138;544.282529
T43237;340.323298
T43289;489.539519
T43322;626.69334
T43391;115.569443
T43460;1070.066728
T43474;718.195354
T43722;163.561095
T43739;575.771363
T43789;176.39771
T43841;551.102256
T43917;819.843989
T43952;314.996133
T44001;882.745587
T44012;1047.574865
T44141;200.566964
T44144;401.658595
T44188;29.096698
T44400;473.846491
T44478;463.121285
T44505;342.912525
T45067;638.793119
T45259;423.269414
T45304;1456.042632
T45321;1765.207181
T45331;788.739221
T45356;741.676618
T45427;127.865895
T45453;440.123242
T45525;2220.497176
T45551;355.292553
T45609;810.084215
T45630;232.716295
T45675;2592.25028
T45686;425.872767
T45722;522.733689
T45940;184.393795
T46007;1222.475901
T46027;170.127843
T46046;541.447008
T46162;115.085082
T46200;2175.517051
T46332;943.765078
T46341;1477.154404
T46371;47.590467
T46391;562.517065
T46452;98.829761
T46457;4065.517023
T46472;728.293217
T46479;100.353235
T46585;1327.099936
T46735;958.054533
T46740;669.08731
T46764;712.827936
T46923;264.328518
T46970;897.762267
T46988;496.502548
T47026;1083.990619
T47145;643.271101
T47243;4290.648913
T47344;561.548404
T47387;487.326559
T47490;85.876074
T47526;643.987683
T47723;1877.537587
T47747;172.425926
T47759;680.282463
T47828;511.117913
T47844;148.415356
T47857;113.502692
T47910;587.229028
T47953;812.80479
T47965;844.018513
T48119;3411.271021
T48195;673.68317
T48228;1518.126173
T48229;266.093635
T48345;114.869351
T48386;341.337726
T48395;202.519427
T48463;473.000606
T48548;1357.913949
T48579;378.468303
T48590;270.00783
T48647;801.819932
T48689;234.280871
T48771;745.21679
T48834;219.865763
T48850;1360.231558
T49030;1458.721359
T49107;175.806516
T49150;67.804079
T49216;602.473554
T49295;1394.256284
T49304;1510.396799
T49410;884.98326
T49424;277.293087
T49432;656.591207
T49440;2200.229874
T49499;253.652433
T49571;473.701319
T49575;46.598077
T49594;1060.450447
T49634;614.934136
T49696;633.263779
T49737;474.386224
T49747;1108.004136
T49758;80.0848
T49803;398.160643
T49804;342.107693
T49917;578.851641
T49920;714.029586
T49923;485.533553
T49938;567.959333
T49954;1427.493404
T49990;255.389611
T50010;122.205082
T50142;2644.861114
T50149;3497.672511
T50168;582.62663
T50223;1824.340975
T50232;212.33884
T50242;428.149059
T50320;468.582441
T50331;979.979761
T50368;191.493204
T50413;452.702067
T50442;80.099847
T50456;705.735428
T50460;176.971807
T50467;939.48639
T50536;104.138972
T50564;130.042334
T50702;105.020322
T50725;1249.698658
T50734;1175.35264
T50741;57.741181
T50743;963.338273
T50749;455.262735
T50750;867.187701
T50754;749.508681
T50762;543.402914
T50813;46.899525
T50843;296.681963
T50869;1292.929227
T50901;958.040775
T50945;969.915954
T51025;312.513422
T51026;1171.15522
T51053;375.701657
T51140;86.833415
T51145;211.220711
T51217;1043.768539
T51367;527.616203
T51425;336.400967
T51520;487.270077
T51535;231.183288
T51553;243.21669
T51620;131.61857
T51646;766.214506
T51652;193.84072
T51665;118.924003
T51682;269.931561
T51693;2085.273297
T51706;1421.365777
T51726;331.479333
T51729;1028.374213
T51800;98.261255
T51811;886.540988
T51839;3369.859231
T51907;3198.11572
T51925;122.036872
T51945;4123.547116
T51994;700.240124
T52004;18.008273
T52097;340.293371
T52184;3440.552175
T52235;885.147671
T52252;87.960032
T52361;214.579668
T52372;1409.11257
T52432;219.280839
T52473;1470.813686
T52484;597.38017
T52521;608.499946
T52565;4011.23362
T52576;978.425087
T52637;1088.209583
T52685;1213.104695
T52694;549.175111
T52843;542.133049
T52846;556.68819
T52926;1473.372361
T52933;1835.184232
T53010;176.073068
T53023;1231.605961
T53093;90.90105
T53095;664.530154
T53161;4751.340492
T53231;1310.961613
T53290;770.536968
T53295;3283.171616
T53335;1501.562483
T53336;685.750764
T53339;2512.957063
T53357;5319.758694
T53360;2201.085818
T53365;1192.454799
T53366;2397.937088
T53381;1114.201998
T53393;238.449996
T53401;1958.032555
T53403;2240.548126
T53407;1103.704567
T53435;634.137743
T53440;1285.16843
T53460;120.60791
T53489;132.194098
T53544;3649.852024
T53547;4229.423426
T53550;846.139098
T53560;2694.422323
T53563;1534.460648
T53570;3840.844571
T53590;1283.25042
T53615;4411.478159
T53634;3231.473144
T53645;3469.116485
T53658;1193.844185
T53664;156.911678
T53698;145.419808
T53699;1640.926311
T53716;848.957224
T53719;130.122669
T53733;533.572314
T53735;694.386056
T53741;1741.353065
T53742;974.286884
T53751;909.69906
T53755;3306.020955
T53762;590.213856
T53779;241.067791
T53780;4555.120856
T53787;158.435196
T54038;11424.830174
T54053;574.565441
T54060;166.49762
T54068;156.224123
T54071;151.599989
T54102;421.810556
T54117;1390.876688
T54131;1098.60548
T54151;176.439453
T54187;809.50518
T54216;641.76992
T54252;161.371149
T54263;639.25379
T54271;1347.224099
T54276;474.639702
T54282;1206.641868
T54284;704.608178
T54306;327.854113
T54313;338.403025
T54318;318.204421
T54337;1040.008277
T54374;108.366792
T54397;1487.515448
T54414;179.400467
T54415;170.100837
T54430;291.146837
T54551;236.121134
T54556;681.461694
T54623;1295.429257
T54649;239.217464
T54729;76.349648
T54744;481.422592
T54769;74.229772
T54797;1349.078837
T54815;1298.991657
T54838;300.145688
T54924;161.745343
T54928;112.362209
T55024;894.833485
T55031;526.135493
T55053;455.071163
T55103;1604.8048
T55117;4298.217394
T55140;1168.379584
T55212;0.0
T55216;3502.62263
T55219;883.850536
T55238;1584.743658
T55244;180.3665
T55295;545.042719
T55302;275.731219
T55328;2402.854927
T55539;928.823965
T55554;1324.113094
T55596;102.742854
T55622;2037.776781
T55665;176.198142
T55699;842.58804
T55737;1085.907842
T55754;354.313861
T55956;238.194022
T55970;1535.451493
T56018;617.191544
T56033;6326.53683
T56076;2431.808329
T56137;853.542026
T56194;80.001345
T56241;482.361893
T56291;5069.27204
T56307;1621.518253
T56320;2379.447529
T56348;1226.897799
T56361;699.510406
T56396;417.130462
T56419;1346.279436
T56440;812.111837
T56447;249.74486
T56562;532.499459
T56590;313.067677
T56606;69.013603
T56626;261.253651
T57058;403.92263
T57062;546.881353
T57089;171.48058
T57095;228.770414
T57105;57.610782
T57154;865.348421
T57156;236.978472
T57157;582.140875
T57160;701.728891
T57161;133.739841
T57165;626.404318
T57177;288.364152
T57211;525.489053
T57215;370.629158
T57248;336.630157
T57253;638.834131
T57320;606.66356
T57362;299.765271
T57392;937.708609
T57410;165.313223
T57422;4252.061182
T57445;288.875625
T57479;105.966955
T57506;514.466053
T57546;395.409532
T57551;305.074054
T57558;982.83828
T57575;847.219777
T57693;1122.123335
T57702;1100.508902
T57766;179.755671
T57767;839.643578
T57876;443.906879
T57883;248.203724
T57886;1089.886481
T57936;900.694139
T58044;1952.443942
T58122;137.093937
T58124;614.034546
T58138;168.794545
T58144;114.350741
T58203;252.816924
T58219;2131.026124
T58228;2573.169141
T58232;312.745554
T58233;737.705172
T58234;575.833892
T58381;157.161936
T58470;966.588004
T58490;333.352816
T58524;1075.291835
T58645;1411.026423
T58657;16.384695
T58681;117.331599
T58684;94.720451
T58706;809.56755
T58719;316.740652
