CD_CLIENTE,telemetria_moduloid_moda,telemetria_productlineid_moda,telemetria_slotid_moda,telemetria_statuslicenca_moda,telemetria_contagem
T03085,10,2,4000,Desconectado,1899
T03108,5554,6,4000,Desconectado,34476
T03116,5,2,4000,Desconectado,4729
T03120,534,3,534,Desconectado,1487176
T03133,99,2,0,Desconectado,2
T03154,5075,1,4000,Desconectado,3466
T03193,516,3,0,Desconectado,1443
T03198,5,2,4000,Desconectado,3812
T03211,533,3,4001,Desconectado,6692
T03213,16,2,4000,Desconectado,6
T03231,12,2,4000,Desconectado,3687
T03268,217,2,3004,Desconectado,4244
T03306,5,2,0,Desconectado,14460
T03309,5,2,4000,Desconectado,5211
T03314,5,2,4000,Desconectado,5567
T03315,7,2,4000,Desconectado,12
T03360,5,2,4000,Desconectado,138
T03367,69,2,4000,Desconectado,2213
T03372,200,2,4001,Desconectado,719
T03378,10,2,4000,Desconectado,12834
T03386,5,2,4000,Desconectado,4891
T03415,6,2,4000,Desconectado,1614
T03436,6,2,4000,Desconectado,656
T03439,2,2,4000,Desconectado,1609
T03450,2,2,4000,Desconectado,323
T03455,2,2,0,Desconectado,1219
T03456,4,2,4016,Desconectado,3516
T03459,43,2,4000,Desconectado,48455
T03485,2,2,4000,Desconectado,1236
T03491,5,2,4000,Desconectado,37
T03510,2,2,4000,Desconectado,2745
T03524,5,2,4000,Desconectado,3433
T03546,533,3,4001,Desconectado,277
T03558,5,2,4016,Desconectado,12842
T03581,2,2,4000,Desconectado,1670
T03585,5,2,0,Desconectado,3926
T03607,2,2,4016,Desconectado,681
T03638,5,2,4024,Desconectado,630
T03644,5,2,4000,Desconectado,573
T03650,12,2,4000,Desconectado,647
T03655,516,3,0,Desconectado,297
T03718,533,3,533,Desconectado,22561
T03752,2,2,4016,Desconectado,6805
T03753,10,2,4000,Desconectado,687
T03799,2,2,4024,Desconectado,1183
T03882,9,2,4000,Desconectado,118
T03960,4,2,4000,Desconectado,739
T03967,217,2,4001,Desconectado,35446
T03969,4,2,4000,Desconectado,9530
T03993,4093,2,4000,Desconectado,5938
T04028,2,2,0,Desconectado,7632
T04036,2,2,4000,Desconectado,5593
T04065,722,9,3502,Desconectado,26812
T04083,12,2,4154,Desconectado,841
T04132,5,2,4000,Desconectado,2472
T04205,2,2,4000,Desconectado,3369
T04247,5631,6,4000,Desconectado,10228
T04251,5,2,4000,Desconectado,10003
T04281,7,2,4000,Desconectado,16624
T04305,5,2,4000,Desconectado,2980
T04325,5,2,4173,Desconectado,655
T04366,4,2,4000,Desconectado,2617
T04396,4,2,4000,Desconectado,2951
T04398,5,2,4173,Desconectado,17427
T04411,5,2,4000,Desconectado,4771
T04467,5,2,4000,Desconectado,4943
T04491,2,2,0,Desconectado,11655
T04506,5,2,4000,Desconectado,690
T04610,533,3,4177,Desconectado,1720
T04697,5,2,0,Desconectado,5245
T04819,2,2,4024,Desconectado,2544
T04859,76,2,4000,Desconectado,38
T04870,4093,2,4000,Desconectado,7511
T05034,5,2,4017,Desconectado,31471
T05045,4,2,4132,Desconectado,623
T05049,5,2,4000,Desconectado,2944
T05077,516,3,0,Desconectado,1243
T05114,9,2,4134,,4
T05154,7,2,4000,Desconectado,2375
T05174,4,2,4000,Desconectado,3973
T05238,2,2,4000,Desconectado,1194
T05248,5,2,4000,Desconectado,351
T05273,5,2,4000,Desconectado,20405
T05353,12,2,4154,Desconectado,1920
T05357,34,2,4016,Desconectado,486
T05395,12,2,4033,Desconectado,3544
T05435,2,2,4000,Desconectado,821
T05500,39,2,4000,Desconectado,615
T05512,5,2,4000,Desconectado,311
T05513,4,2,4132,Desconectado,4096
T05519,5024,1,4000,Desconectado,848
T05563,12,2,12,Negado,1
T05606,5,2,4000,Desconectado,1685
T05615,516,3,0,Desconectado,384
T05618,6,2,4000,Desconectado,653
T05621,5511,6,4000,Desconectado,78
T05661,5,2,4000,Desconectado,2422
T05690,2,2,4016,Desconectado,8364
T05691,533,3,0,Desconectado,22821
T05720,5,2,4000,Desconectado,8237
T05723,6,2,4024,Desconectado,1533
T05748,5,2,4000,Desconectado,2508
T05762,5,2,4000,Desconectado,1633
T05787,4,2,4000,Desconectado,2628
T05793,2,2,4000,Desconectado,1695
T05797,6,2,4000,Desconectado,3374
T05808,6,2,4000,Desconectado,2620
T05809,200,2,0,Desconectado,1599
T05816,5038,1,4000,Desconectado,1517
T05821,6,2,4016,Desconectado,727
T05830,6,2,4000,Desconectado,1090
T05879,520,3,0,Desconectado,11258
T05914,5,2,4000,Desconectado,1309
T05948,4093,2,4000,Desconectado,1780
T05953,607,11,607,Conectado,999
T05958,6,2,4000,Desconectado,10
T05967,13,2,4000,Desconectado,7667
T05995,5,2,4000,Desconectado,8007
T05997,520,3,0,Desconectado,1175
T06008,2,2,4000,Desconectado,2163
T06016,10,2,4000,Desconectado,5793
T06096,12,2,4154,Desconectado,8917
T06131,5,2,4000,Desconectado,14816
T06148,6,2,4024,Desconectado,213
T06178,4093,2,0,Desconectado,10445
T06187,523,3,0,Desconectado,6529
T06198,6,2,4000,Desconectado,263
T06200,4093,2,4001,Desconectado,8921
T06209,4,2,0,Desconectado,10222
T06253,10,2,4173,Desconectado,2679
T06336,516,3,0,Desconectado,682
T06341,6,2,4000,Desconectado,23
T06358,5,2,4173,Desconectado,798
T06381,616,11,616,Conectado,1255
T06425,2,2,4000,Desconectado,1589
T06435,10,2,4000,Desconectado,1577
T06449,523,3,0,Desconectado,6767
T06468,5,2,4000,Desconectado,38083
T06475,6,2,4024,Desconectado,2803
T06486,5,2,4000,Desconectado,1589
T06525,520,3,0,Desconectado,3005
T06542,5,2,0,Desconectado,11176
T06552,6,2,4000,Desconectado,1336
T06575,602,11,602,Conectado,275
T06583,5,2,4000,Desconectado,247
T06619,5,2,4000,Desconectado,5210
T06638,5,2,4000,Desconectado,5645
T06654,4093,2,4000,Desconectado,101
T06661,5,2,4000,Desconectado,5855
T06682,9,2,4134,,8
T06684,602,11,602,Conectado,1241
T06816,200,2,4001,Desconectado,3358
T06883,5,2,4000,Desconectado,942
T06914,7,2,4000,Desconectado,171
T06925,5629,6,4000,Desconectado,1489
T06937,533,3,533,Desconectado,127215
T06961,5,2,4000,Desconectado,1764
T07049,5,2,4000,Desconectado,44135
T07145,34,2,4133,Desconectado,445
T07157,534,3,534,Desconectado,149477
T07174,4,2,4000,Desconectado,1581
T07244,5,2,4000,Desconectado,9698
T07272,6,2,4000,Desconectado,1482
T07296,5,2,4000,Desconectado,1555
T07300,34,2,4000,Desconectado,668
T07389,5,2,4000,Desconectado,437
T07396,5,2,4173,Desconectado,4037
T07402,10,2,4000,Desconectado,233
T07413,34,2,4016,Desconectado,1199
T07422,12,2,4154,Desconectado,714
T07446,5,2,4000,Desconectado,2412
T07457,5,2,4000,Desconectado,1520
T07472,5,2,4000,Desconectado,2370
T07483,5,2,4000,Desconectado,2332
T07499,722,9,3502,Desconectado,57593
T07504,6,2,4000,Desconectado,1051
T07542,98,2,4134,,6
T07543,10,2,4000,Desconectado,2555
T07578,616,11,616,Conectado,718
T07589,6,2,4024,Desconectado,1693
T07602,6,2,4000,Desconectado,2090
T07614,43,2,4171,Desconectado,2629
T07621,5,2,4000,Desconectado,307
T07650,5,2,0,Desconectado,3772
T07654,5,2,4000,Desconectado,565
T07665,523,3,0,Desconectado,3312
T07673,5,2,4000,Desconectado,704
T07677,2,2,4000,Desconectado,2627
T07678,6,2,4000,Desconectado,669
T07682,9,2,4134,,6
T07684,10,2,4000,Desconectado,8046
T07726,6,2,4000,Desconectado,603
T07742,4,2,4000,Desconectado,2088
T07748,4,2,4000,Desconectado,1263
T07762,805,13,805,Conectado,21345
T07781,2,2,0,Desconectado,5670
T07784,2,2,4000,Desconectado,3068
T07800,2,2,4000,Desconectado,6101
T07810,12,2,4154,Desconectado,1564
T07814,4,2,4000,Desconectado,5830
T07826,534,3,534,Desconectado,39205
T07849,534,3,534,Desconectado,6207
T07880,12,2,4000,Desconectado,508
T07885,516,3,0,Desconectado,443
T07888,12,2,4000,Desconectado,809
T07890,2,2,0,Desconectado,3153
T07912,506,3,0,Desconectado,2337
T07947,2,2,0,Desconectado,2976
T07984,519,3,0,Desconectado,4745
T08043,533,3,533,Desconectado,9987
T08085,5,2,4000,Desconectado,5298
T08111,6,2,4000,Desconectado,571
T08115,6,2,4000,Desconectado,502
T08223,33,2,4000,Desconectado,4618
T08225,6,2,4000,Desconectado,2878
T08245,533,3,533,Desconectado,20860
T08257,533,3,533,Desconectado,9974
T08292,84,2,4145,Desconectado,215
T08298,5,2,4000,Desconectado,1
T08322,6,2,4000,Desconectado,779
T08368,722,9,3502,Desconectado,6476
T08383,5,2,4000,Desconectado,608
T08391,533,3,533,Desconectado,34457
T08433,5,2,4000,Desconectado,327
T08451,12,2,4000,Desconectado,9945
T08492,5,2,4000,Desconectado,371
T08539,5,2,4024,Desconectado,1295
T08807,99,2,0,Desconectado,2
T08810,6945,6,4000,Desconectado,17500
T08822,34,2,4000,Desconectado,842
T08855,5,2,0,Desconectado,6604
T08886,5,2,4000,Desconectado,9430
T08909,2,2,4024,Desconectado,2043
T08946,5,2,4000,Desconectado,14376
T08976,5,2,4000,Desconectado,7864
T09068,6,2,4000,Desconectado,575
T09104,7,2,4026,Desconectado,7
T09105,12,2,4154,Desconectado,299
T09128,6,2,4000,Desconectado,1489
T09129,5,2,4000,Desconectado,8424
T09163,5,2,4000,Desconectado,9558
T09168,5,2,0,Desconectado,420
T09170,4093,2,4000,Desconectado,38091
T09188,4,2,4000,Desconectado,3395
T09190,533,3,533,Desconectado,29186
T09248,10,2,4000,Desconectado,398
T09401,6,2,4000,Desconectado,225
T09408,5,2,4000,Desconectado,5111
T09440,5,2,4000,Desconectado,11692
T09450,34,2,4000,Desconectado,96
T09466,4,2,4000,Desconectado,14104
T09481,5,2,4000,Desconectado,3083
T09502,6,2,4000,Desconectado,65
T09514,6,2,4024,Desconectado,4532
T09580,9,2,4134,,8
T09590,43,2,4000,Desconectado,64190
T09624,5,2,4024,Desconectado,3061
T09656,200,2,4145,Desconectado,1578
T09724,5,2,4000,Desconectado,2028
T09736,7,2,4016,Desconectado,28
T09748,9,2,4134,,2
T09755,10,2,0,Desconectado,9139
T09800,602,11,602,Conectado,2062
T09817,6,2,4000,Desconectado,2
T09851,10,2,0,Desconectado,3752
T09860,513,3,0,Desconectado,26367
T09869,2,2,4000,Desconectado,2335
T09935,9,2,4134,,4
T09978,6,2,4000,Desconectado,440
T09979,33,2,4000,Desconectado,10861
T09981,6,2,4000,Desconectado,2055
T10010,6,2,4000,Desconectado,2607
T10019,4093,2,0,Desconectado,4799
T10022,73,2,4125,Desconectado,95
T10041,534,3,534,Desconectado,138850
T10084,520,3,0,Desconectado,831
T10090,5,2,4000,Desconectado,158
T10110,4093,2,4000,Desconectado,990
T10121,5508,6,4000,Desconectado,651
T10145,6,2,4000,Desconectado,4570
T10159,2,2,0,Desconectado,1905
T10179,5,2,4000,Desconectado,1630
T10182,6,2,4000,Desconectado,1645
T10199,5,2,4000,Desconectado,131
T10216,523,3,0,Desconectado,33769
T10219,534,3,534,Desconectado,32705
T10247,5,2,4000,Desconectado,611
T10271,7,2,4145,Desconectado,4062
T10289,5,2,4000,Desconectado,6373
T10391,5,2,4000,Desconectado,351
T10392,6,2,4133,Desconectado,1184
T10406,5,2,4000,Desconectado,4512
T10415,5,2,4000,Desconectado,1728
T10471,200,2,4000,Desconectado,6514
T10494,4,2,4000,Desconectado,7845
T10560,5,2,4000,Desconectado,248
T10570,2,2,4000,Desconectado,1975
T10661,10,2,4000,Desconectado,5020
T10679,39,2,4000,Desconectado,1201
T10680,5,2,4132,Desconectado,9576
T10698,5,2,4000,Desconectado,6555
T10703,200,2,4000,Desconectado,2567
T10731,29,2,4107,Desconectado,24
T10752,5,2,0,Desconectado,6
T10765,19,2,4000,Desconectado,4661
T10859,5,2,4000,Desconectado,3658
T10869,4,2,4132,Desconectado,1901
T10872,5,2,4000,Desconectado,4190
T10881,5,2,4000,Desconectado,1826
T10944,2,2,4024,Desconectado,3018
T10952,6,2,4000,Desconectado,196
T10967,533,3,533,Desconectado,30078
T10983,6,2,4000,Desconectado,1190
T11026,5,2,4000,Desconectado,176
T11036,4,2,4000,Desconectado,17322
T11037,2,2,0,Desconectado,16431
T11071,6,2,4000,Desconectado,10
T11117,5,2,4000,Desconectado,1350
T11157,2,2,4000,Desconectado,174
T11161,7,2,4000,Desconectado,285
T11180,6,2,4022,Desconectado,1017
T11271,5,2,4000,Desconectado,4225
T11287,39,2,4162,Desconectado,1397
T11293,534,3,0,Desconectado,4161
T11318,533,3,533,Desconectado,24190
T11382,2,2,4118,Desconectado,9694
T11387,9,2,4134,,4
T11432,520,3,0,Desconectado,766
T11454,516,3,0,Desconectado,1317
T11510,519,3,0,Desconectado,1129
T11561,6,2,4000,Desconectado,492
T11564,200,2,4001,Desconectado,2018
T11577,6,2,4133,Desconectado,81
T11623,534,3,534,Desconectado,466730
T11677,4093,2,4016,Desconectado,569
T11687,12,2,4000,Desconectado,1549
T11727,5,2,4000,Desconectado,3705
T11754,5,2,4016,Desconectado,699
T11806,4093,2,4134,Desconectado,61
T11855,210,2,4150,Desconectado,3418
T11871,34,2,4000,Desconectado,1270
T11906,2,2,4000,Desconectado,7294
T11910,12,2,4000,Desconectado,5352
T11933,6945,6,4000,Desconectado,46011
T12016,6,2,4000,Desconectado,2974
T12061,5,2,4000,Desconectado,1727
T12062,10,2,4000,Desconectado,4247
T12096,5,2,4016,Desconectado,2691
T12098,5,2,4173,Desconectado,1264
T12183,201,2,3016,Desconectado,6100
T12221,2,2,4000,Desconectado,139
T12230,6,2,4000,Desconectado,764
T12248,34,2,4000,Desconectado,610
T12280,5,2,4000,Desconectado,2200
T12357,5,2,4000,Desconectado,1477
T12368,4093,2,4001,Desconectado,2953
T12377,12,2,4024,Desconectado,26815
T12393,6,2,4000,Desconectado,2940
T12395,5,2,4000,Desconectado,3759
T12416,200,2,0,Desconectado,1468
T12450,5,2,4000,Desconectado,2949
T12464,5,2,4000,Desconectado,1484
T12467,6,2,0,Desconectado,1196
T12505,4,2,4000,Desconectado,570
T12530,6,2,4016,Desconectado,1621
T12552,2,2,4000,Desconectado,1419
T12562,534,3,4029,Desconectado,6113
T12582,69,2,4000,Desconectado,386
T12595,17,2,4107,Desconectado,322
T12653,4,2,4024,Desconectado,8173
T12690,5,2,4000,Desconectado,3494
T12712,7,2,4000,Desconectado,111
T12757,6,2,4024,Desconectado,379
T12817,5,2,4000,Desconectado,169
T12825,5,2,4000,Desconectado,6170
T12864,516,3,0,Desconectado,406
T12870,5,2,4001,Desconectado,4847
T12915,5,2,4000,Desconectado,6709
T12953,33,2,4000,Desconectado,8756
T12969,9,2,4134,Desconectado,11
T12991,6,2,4133,Desconectado,657
T13017,2,2,4024,Desconectado,19893
T13023,5,2,4000,Desconectado,2322
T13046,9,2,4134,,4
T13047,200,2,4001,Desconectado,4818
T13065,6,2,4024,Desconectado,1223
T13109,2,2,4000,Desconectado,797
T13275,5,2,4000,Desconectado,102
T13320,5,2,4024,Desconectado,1836
T13347,5,2,4000,Desconectado,7246
T13388,4,2,4000,Desconectado,287
T13468,10,2,4024,Desconectado,7211
T13481,5,2,4000,Desconectado,2052
T13485,7,2,4000,Desconectado,113
T13614,7,2,4145,Desconectado,77
T13629,6,2,4016,Desconectado,6485
T13630,5,2,4000,Desconectado,4578
T13640,5,2,4000,Desconectado,22
T13659,5,2,4000,Desconectado,3632
T13661,5,2,4000,Desconectado,287
T13666,534,3,534,Desconectado,19273
T13777,12,2,4000,Desconectado,4623
T13780,5,2,4024,Desconectado,407
T13825,6,2,4000,Desconectado,857
T13830,5,2,4000,Desconectado,1314
T13833,5,2,4000,Desconectado,1682
T13852,6,2,4024,Desconectado,1372
T13857,5,2,4000,Desconectado,279
T13864,6,2,0,Desconectado,1109
T13875,5,2,4000,Desconectado,3948
T13918,10,2,4000,Desconectado,1824
T13934,12,2,4154,Desconectado,120
T13935,12,2,4000,Desconectado,4091
T13937,534,3,4001,Desconectado,42252
T13941,43,2,4000,Desconectado,3036
T14012,4093,2,4024,Desconectado,4026
T14063,5,2,4173,Desconectado,6205
T14072,39,2,4000,Desconectado,275
T14081,722,9,3502,Desconectado,24508
T14119,200,2,4000,Desconectado,4398
T14167,5,2,4164,Desconectado,6617
T14189,9,2,4134,Desconectado,10
T14190,12,2,4154,Desconectado,12204
T14264,5,2,4000,Desconectado,67
T14333,4,2,4000,Desconectado,9314
T14390,84,2,4025,Desconectado,111
T14398,5511,6,4000,Desconectado,27664
T14431,4012,2,0,Desconectado,99
T14439,97,2,4000,Desconectado,9670
T14449,200,2,0,Desconectado,6360
T14466,6,2,4000,Desconectado,6034
T14472,5553,6,4000,Desconectado,283
T14475,200,2,0,Desconectado,2589
T14511,4,2,4000,Desconectado,2380
T14535,516,3,0,Desconectado,366
T14539,7,2,4000,Desconectado,32
T14551,6,2,4000,Desconectado,46
T14588,5,2,4000,Desconectado,4996
T14596,84,2,4145,Desconectado,454
T14622,2,2,4118,Desconectado,1637
T14650,2,2,4000,Desconectado,3803
T14705,4012,0,0,Desconectado,55
T14744,4,2,4000,Desconectado,7010
T14749,2,2,4024,Desconectado,423
T14772,5,2,4000,Desconectado,957
T14861,2,2,4000,Desconectado,3856
T14917,4,2,4118,Desconectado,2132
T14930,6,2,4133,Desconectado,354
T14950,6,2,3999,Desconectado,198
T15011,519,3,0,Desconectado,2056
T15034,5,2,4000,Desconectado,2570
T15035,5,2,0,Desconectado,5561
T15045,5,2,4000,Desconectado,8191
T15055,5,2,4000,Desconectado,694
T15062,19,2,4160,Desconectado,4640
T15074,6,2,4133,Desconectado,1448
T15080,5,2,4173,Desconectado,1086
T15122,4,2,4000,Desconectado,1530
T15127,4,2,0,Desconectado,1534
T15135,200,2,4001,Desconectado,2674
T15138,4,2,4000,Desconectado,1397
T15140,6,2,4000,Desconectado,808
T15144,5,2,4000,Desconectado,240
T15145,2,2,4000,Desconectado,5602
T15159,722,9,3502,Desconectado,48951
T15172,5,2,4000,Desconectado,988
T15173,39,2,4000,Desconectado,994
T15225,6,2,4000,Desconectado,921
T15232,5,2,4000,Desconectado,1274
T15283,5209,6,4000,Desconectado,6914
T15289,2,2,4000,Desconectado,1925
T15314,6,2,4016,Desconectado,2903
T15319,5,2,4173,Desconectado,7719
T15331,5,2,4000,Desconectado,10082
T15393,4093,2,4024,Desconectado,306
T15456,5,2,4000,Desconectado,1379
T15467,7,2,4145,Desconectado,1582
T15510,5,2,4173,Desconectado,9663
T15526,6,2,4000,Desconectado,1432
T15550,34,2,4000,Desconectado,2643
T15561,4093,2,4048,Desconectado,98
T15628,5,2,4000,Desconectado,1381
T15633,2,2,0,Desconectado,8562
T15644,5,2,4000,Desconectado,8182
T15648,5,2,4000,Desconectado,849
T15650,6,2,4000,Desconectado,5947
T15688,6,2,4000,Desconectado,778
T15691,5,2,4000,Desconectado,239
T15697,533,3,533,Desconectado,2564
T15732,2,2,0,Desconectado,946
T15747,2,2,4000,Desconectado,3685
T15753,5,2,4000,Desconectado,357
T15780,5,2,4000,Desconectado,323
T15822,5,2,4000,Desconectado,1533
T15837,39,2,4000,Desconectado,407
T15854,6,2,4000,Desconectado,3136
T15860,9,2,4134,,4
T15865,5,2,4000,Desconectado,2591
T15868,4,2,4000,Desconectado,7190
T15878,6,2,4000,Desconectado,2786
T15893,200,2,4001,Desconectado,1154
T15900,720,9,3501,Desconectado,16251
T15927,6,2,4024,Desconectado,1916
T15970,6,2,4133,Desconectado,417
T15971,46,2,4000,Desconectado,4018
T15978,4,2,4024,Desconectado,3652
T15998,16,2,4145,Desconectado,184
T16015,6,2,4000,Desconectado,33
T16016,4093,2,4000,Desconectado,507
T16062,2,2,4000,Desconectado,1098
T16072,613,11,613,Conectado,113
T16103,5087,1,4000,Desconectado,13428
T16194,6,2,4000,Desconectado,2934
T16208,5,2,4000,Desconectado,2632
T16210,6,2,4024,Desconectado,88
T16221,3033,2,4001,Desconectado,7031
T16230,9,2,4134,,4
T16235,3065,3,3065,Desconectado,25729
T16236,6,2,4000,Desconectado,618
T16237,6,2,4016,Desconectado,2218
T16250,5,2,4000,Desconectado,5236
T16268,5,2,4000,Desconectado,165
T16279,4,2,4000,Desconectado,4117
T16284,10,2,0,Desconectado,964
T16313,2,2,4000,Desconectado,507
T16326,24,2,4000,Desconectado,1505
T16333,5,2,4173,Desconectado,11018
T16397,6,2,4000,Desconectado,647
T16411,5,2,0,Desconectado,28952
T16428,5,2,4000,Desconectado,345
T16438,2,2,4016,Desconectado,351
T16447,5,2,4000,Desconectado,310
T16451,5,2,4000,Desconectado,2012
T16472,39,2,4162,Desconectado,3832
T16514,6,2,4145,Desconectado,1140
T16523,44,2,4000,Desconectado,459
T16528,5,2,4000,Desconectado,1483
T16544,6,2,4000,Desconectado,2957
T16545,217,2,4001,Desconectado,1673
T16546,10,2,0,Desconectado,2106
T16565,5,2,4000,Desconectado,883
T16567,6,2,4133,Desconectado,506
T16582,5,2,4024,Desconectado,3965
T16588,516,3,0,Desconectado,1070
T16590,200,2,4001,Desconectado,1103
T16597,4,2,4000,Desconectado,19806
T16602,4,2,4024,Desconectado,14495
T16603,534,3,534,Desconectado,111487
T16606,7,2,4000,Desconectado,409
T16607,5,2,4000,Desconectado,305
T16616,6,2,4024,Desconectado,540
T16621,99,2,0,Desconectado,2
T16639,39,2,4032,Desconectado,3965
T16646,7,2,4145,Desconectado,22737
T16649,39,2,4000,Desconectado,4524
T16658,84,2,0,Desconectado,15
T16667,5,2,4173,Desconectado,497
T16677,6,2,4000,Desconectado,17
T16696,12,2,4000,Desconectado,823
T16698,6,2,4000,Desconectado,242
T16716,5,2,4000,Desconectado,1708
T16732,534,3,0,Desconectado,5296
T16736,5,2,4000,Desconectado,205
T16751,520,3,0,Desconectado,3491
T16755,5,2,4000,Desconectado,1526
T16758,6,2,4000,Desconectado,602
T16759,5,2,4000,Desconectado,1029
T16765,4,2,4000,Desconectado,2620
T16800,6,2,4133,Desconectado,1862
T16834,5,2,4000,Desconectado,743
T16863,5,2,4173,Desconectado,161
T16867,5,2,4024,Desconectado,897
T16878,5,2,4000,Desconectado,8936
T16880,5,2,4000,Desconectado,390
T16885,5,2,4000,Desconectado,5886
T16898,516,2,4000,Desconectado,6353
T16926,16,2,4000,Desconectado,17
T16927,6,2,4000,Desconectado,1095
T16951,5,2,4000,Desconectado,2299
T16961,10,2,4000,Desconectado,5449
T16971,519,3,0,Desconectado,1650
T16976,10,2,4024,Desconectado,3255
T16981,2,2,4000,Desconectado,4282
T16989,520,3,0,Desconectado,8214
T16995,6,2,4000,Desconectado,36
T17062,2,2,4000,Desconectado,3656
T17078,10,2,4000,Desconectado,5010
T17085,5,2,4000,Desconectado,274
T17094,2,2,4000,Desconectado,24792
T17136,6,2,4000,Desconectado,2483
T17146,2,2,0,Desconectado,3876
T17149,533,3,4001,Desconectado,1575
T17152,7,2,4145,Desconectado,56
T17193,516,3,0,Desconectado,494
T17212,523,3,0,Desconectado,1181
T17217,5,2,4000,Desconectado,858
T17230,5,2,4000,Desconectado,4036
T17271,519,3,0,Desconectado,2049
T17272,4093,2,4024,Desconectado,3600
T17274,5,2,4024,Desconectado,1411
T17275,5,2,4000,Desconectado,533
T17299,200,2,4000,Desconectado,5956
T17312,6,2,4000,Desconectado,4484
T17319,5028,1,4000,Desconectado,1224
T17321,6,2,4145,Desconectado,2320
T17325,5,2,4000,Desconectado,2036
T17348,4,2,4016,Desconectado,4512
T17391,5,2,4000,Desconectado,794
T17405,6,2,4133,Desconectado,1866
T17423,10,2,4000,Desconectado,880
T17432,2,2,4000,Desconectado,5038
T17433,5617,6,4000,Desconectado,917
T17436,523,3,0,Desconectado,3002
T17446,5033,1,4000,Desconectado,2841
T17812,7,2,4145,Desconectado,69
T17816,5508,6,4000,Desconectado,2893
T17891,10,2,4000,Desconectado,10375
T17941,533,3,533,Desconectado,245944
T17987,200,2,4000,Desconectado,2759
T17997,4,2,4000,Desconectado,13271
T18038,6,2,4000,Desconectado,2282
T18071,520,3,0,Desconectado,430
T18363,5075,1,4000,Desconectado,3593
T18412,4007,0,4007,Desconectado,21
T18952,506,3,0,Desconectado,668
T18982,520,3,0,Desconectado,914
T19263,516,3,0,Desconectado,562
T19295,516,3,4025,Desconectado,98
