CD_CLIENTE;DS_PROD_moda;DS_LIN_REC_moda;CIDADE_moda;DS_CNAE_moda;DS_SEGMENTO_moda;DS_SUBSEGMENTO_moda;MARCA_TOTVS_moda;MODAL_COMERC_moda;PAIS_moda;PERIODICIDADE_moda;UF_moda;VL_TOTAL_CONTRATO_soma;faixa_vl_total_soma_contratos;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M
T00686;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;VINHEDO;Fabricacao de adesivos e selantes;MANUFATURA;QUIMICA & RECICLAGEM;MANUFATURA - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;501943.57548763766;0.5-1.0M;11527;3.0;0.260639156811025
T00737;CDU MNT ATIVOS NG TRAD;SOFTWARE COMPLEMENTAR;SAOPAULO;Fabricacao de artefatos de material plastico para usos industriais;MANUFATURA;METAL-MECANICO & PLASTICO;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;6560748.618174904;6.5-7.0M;12436;0.0;0.0
T00788;SMS TOTVS TEC USER;SMS TOTVS SERIE T;JAGUARIUNA;Desenvolvimento de programas de computador sob encomenda;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;282437.70428320044;0.0-0.5M;5654;0.0;0.0
T00831;CA.Adic.CsU;CDU TOTVS SERIE T;BELOHORIZONTE;Seguros de vida;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;120952.82087290015;0.0-0.5M;12517;0.0;0.0
T00931;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;DIADEMA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;SERVICOS DE IMPLANTACAO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;590.9068032069056;0.0-0.5M;9918;0.0;0.0
T00953;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Restaurantes e similares;VAREJO;VAREJO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;64837.471050643144;0.0-0.5M;11527;0.0;0.0
T00971;SMS TOTVS TEC USER;SMS TOTVS SERIE T;PORTOALEGRE;Fabricacao de perifericos para equipamentos de informatica;MANUFATURA;BENS DURAVEIS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;18804.274392441876;0.0-0.5M;9594;1.0;33.1432114886794
T01008;TOTVS TEC USER;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;90188.53443401013;0.0-0.5M;11527;0.0;0.0
T01060;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;CURITIBA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;19640.854620230006;0.0-0.5M;5564;0.0;0.0
T01085;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPINAS;Fabricacao de artigos de metal para uso domestico e pessoal;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;50647.531271096785;0.0-0.5M;4875;1.0;171.517380611126
T01104;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;MURIAE;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;BACKOFFICE - PARCEIRO;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;151927.73317749478;0.0-0.5M;7559;1.0;3369.18148751929
T01127;SMS TOTVS TEC USER;SAAS SERIE T;DIADEMA;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;31453.89140538084;0.0-0.5M;10232;1.0;4171.19339617102
T01134;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOVICENTE;Fabricacao de defensivos agricolas;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;72549.8131276829;0.0-0.5M;9872;1.0;476.137293205328
T01173;SMS TOTVS TEC USER;CDU TOTVS SERIE T;VIANA;Fabricacao de produtos … base de cafe;MANUFATURA;BENS DE CONSUMO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;56742.72088427312;0.0-0.5M;9253;0.0;0.0
T01205;SMS TOTVS TEC USER;SMS TOTVS SERIE T;CUSTODIA;Fabricacao de outros produtos alimenticios nao especificados anteriormente;MANUFATURA;BENS DE CONSUMO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;66370.40343599777;0.0-0.5M;8677;0.0;0.0
T01254;PROG OPED STUDIO ND USR MNT;CLOUD COMPUTING.;CONTAGEM;Fabricacao de transformadores, indutores, conversores, sincronizadores e semelhantes, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CLOUD;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;31915.836476112054;0.0-0.5M;6870;1.0;0.0420385736791976
T01259;CONS TEF MULTILOJA;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;30385.363347317725;0.0-0.5M;4312;3.0;12070.2077596333
T01346;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SANTOANDRE;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgencias;SAUDE;HOSPITAIS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;1808.9450485600796;0.0-0.5M;10875;0.0;0.0
T01351;ADESAO TOTVS P;CDU TOTVS SERIE T;PORECATU;Fabricacao de acucar em bruto;AGROINDUSTRIA;SUCROENERGETICO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;41256.25684231459;0.0-0.5M;11272;2.0;6144.00900878998
T01352;PROGRESS USER 11 CDU;CDU BEMATECH;BARUERI;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;MICRO E PEQUENOS NEGOCIOS (FOOD);MODALIDADE TRADICIONAL;105;00 - Mensal;SP;96343.90646926562;0.0-0.5M;11274;0.0;0.0
T01356;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;JAU;Fabricacao de acucar em bruto;AGROINDUSTRIA;SUCROENERGETICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;857.4986220509043;0.0-0.5M;5039;0.0;0.0
T01384;ARREND E LOCACOES STANDARD;CDU TOTVS SERIE T;UBERLANDIA;Comercio atacadista de mercadorias em geral, sem predominancia de alimentos ou de insumos agropecuarios;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;278468.8551537195;0.0-0.5M;8017;2.0;2134.9752067291
T01436;CES.DIR. COOP/COM;CDU TOTVS SERIE T;JUNDIAI;Perfuracao e construcao de pocos de agua;CONSTRUCAO E PROJETOS;CONSTRUTORAS;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;411750.4336259519;0.0-0.5M;5540;1.0;38667.7484834474
T01440;ASSINATURA MENSAL INTERNET CMN;SMS CMNET HOTAL;ARACAJU;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SE;5898.621446509767;0.0-0.5M;10686;1.0;117.926606884885
T01487;CDU CORPORATIVO RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;13003.295941016768;0.0-0.5M;11184;2.0;0.00840771473583952
T01502;CDU LGT GCH ON-DEMAND 100 TRA;CDU TOTVS SERIE T;PINDORAMA;Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;254287.99432271623;0.0-0.5M;5666;8.0;90580.0396706845
T01526;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artigos de serralheria, exceto esquadrias;MANUFATURA;BENS DE CAPITAL;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;18524.680042758904;0.0-0.5M;11157;0.0;0.0
T01531;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;51792.76291069503;0.0-0.5M;8616;0.0;0.0
T01567;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;7885.09959557448;0.0-0.5M;11129;0.0;0.0
T01637;CONTR.MANUT.FINAN.;SMS TOTVS SERIE T;RIODEJANEIRO;Agente de propriedade industrial;JURIDICO;ESCRITORIO DE ADVOCACIA;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;1947.415906401985;0.0-0.5M;11052;0.0;0.0
T01667;PROGRESS USER 11 SMS;CDU TOTVS SERIE T;COLOMBO;Fabricacao de cabines, carrocerias e reboques para caminhoes;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;8179.29394189623;0.0-0.5M;10866;3.0;3352.04236103028
T01670;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPINAS;Fabricacao de outras maquinas e equipamentos de uso geral nao especificados anteriormente, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;171096.31805329805;0.0-0.5M;11051;2.0;2934.85996355266
T01690;SMS TOTVS TEC USER;CDU TOTVS SERIE T;PORTOALEGRE;Construcao de obras de arte especiais;CONSTRUCAO E PROJETOS;CONSTRUTORAS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;205828.1588335997;0.0-0.5M;8859;2.0;562.05993394824
T01695;CDU CORPORATIVO RB2 - TABELA A;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artefatos de borracha nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;111779.26421720235;0.0-0.5M;7829;0.0;0.0
T01702;CDU  MED SEG TRABALHO NG TRAD;CDU TOTVS SERIE T;MORUNGABA;Fiacao de fibras artificiais e sinteticas;MANUFATURA;BENS DE CONSUMO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10074.62825936706;0.0-0.5M;4890;0.0;0.0
T01724;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;RECIFE;Fabricacao de obras de caldeiraria pesada;MANUFATURA;BENS DE CAPITAL;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;20236.944779571568;0.0-0.5M;11007;0.0;0.0
T01726;ADESAO AVALIACAO DE DESEMPENHO;CDU TOTVS SERIE T;SAOJOSEDOSCAMPOS;Desenvolvimento de programas de computador sob encomenda;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;4128.5284477440055;0.0-0.5M;4199;0.0;0.0
T01743;SMS TOTVS TEC USER;CDU TOTVS SERIE T;BAURU;EDICAO INTEGRADA A IMPRESSAO DE JORNAIS DIARIOS;MANUFATURA;PAPEL & CELULOSE;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;69896.46026891566;0.0-0.5M;5623;0.0;0.0
T01744;AHG GER. EXCEDENTE - BILLING;SAAS SERIE T;SAOPAULO;Desenvolvimento e licenciamento de programas de computador nao-customizaveis;SERVICOS;PROVEDOR SERVICOS;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1416.3762359716295;0.0-0.5M;279;1.0;1416.37623597163
T01759;ASP CORPORATE;CDU TOTVS SERIE T;BARUERI;Fabricacao de moveis com predominancia de madeira;MANUFATURA;BENS DURAVEIS;CLOUD;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;12113.42761723289;0.0-0.5M;10979;0.0;0.0
T01773;MOD FLUXO CAIXA PLA ON PREMISE;SMS TOTVS SERIE T;SAOPAULO;Producao de gas, processamento de gas natural;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;GESPLAN;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10978.999891070267;0.0-0.5M;10968;1.0;11571.3360057823
T01777;SMS TOTVS TEC USER;CDU TOTVS SERIE T;DIADEMA;Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10128.832796269016;0.0-0.5M;6675;1.0;2764.62896329612
T01846;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;TABOAODASERRA;Fabricacao de luminarias e outros equipamentos de iluminacao;MANUFATURA;BENS DE CAPITAL;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;94763.53775737144;0.0-0.5M;10610;0.0;0.0
T01872;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;NOVALIMA;Fabricacao de fornos industriais, aparelhos e equipamentos nao-eletricos para instalacoes termicas, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;28723.868595937434;0.0-0.5M;6198;2.0;0.00840771473583952
T01877;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SAOROQUE;Comercio atacadista de materiais de construcao em geral;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;71218.28754882542;0.0-0.5M;10889;0.0;0.0
T01899;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Edicao integrada … impressao de revistas;MANUFATURA;PAPEL & CELULOSE;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;4960.9384490231705;0.0-0.5M;10874;0.0;0.0
T01901;CDU CORPORATIVO RB1.3 TABELA C;CDU TOTVS SERIE T;JOINVILLE;Compra e venda de imoveis proprios;MANUFATURA;BENS DURAVEIS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SC;32595.56658164577;0.0-0.5M;7585;2.0;0.016815429471679
T02029;AG.WN01.CsA;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Hoteis;HOSPITALITY;HOSPEDAGEM;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;3500.5141955504737;0.0-0.5M;8249;0.0;0.0
T02069;SMS TOTVS TEC USER;CDU TOTVS SERIE T;BELOHORIZONTE;Comercio varejista de outros produtos nao especificados anteriormente;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;49953.17594578012;0.0-0.5M;4923;0.0;0.0
T02072;CONTR.MANUT.DESENV.ESPEC.;CDU TOTVS SERIE T;ITATIBA;Fabricacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;64146.11307562978;0.0-0.5M;9690;0.0;0.0
T02076;CDU CORPORATIVO RB2.3 TABELA C;CDU TOTVS SERIE T;INDAIAL;Fabricacao de fogoes, refrigeradores e maquinas de lavar e secar para uso domestico, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SC;149736.4094666062;0.0-0.5M;6530;1.0;0.00420385736791976
T02084;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artefatos de material plastico para uso pessoal e domestico;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;16695.41354768233;0.0-0.5M;10756;0.0;0.0
T02145;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;NOVAFRIBURGO;Fabricacao de artigos de serralheria, exceto esquadrias;MANUFATURA;BENS DE CAPITAL;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;RJ;436789.4867154718;0.0-0.5M;9554;3.0;6796.28372185378
T02202;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Atividades de associacoes de defesa de direitos sociais;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;5275.807365880354;0.0-0.5M;9041;0.0;0.0
T02235;CONTR.MANUT.DESENV.ESPEC.;CDU TOTVS SERIE T;SAOPAULO;Servicos de comunicacao multimidia - SMC;SERVICOS;UTILITIES;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;14401.969733612093;0.0-0.5M;10671;0.0;0.0
T02250;SMS FULL TOTVS TRAD;SMS TOTVS SERIE T;SAOPAULO;Fabricacao de sucos concentrados de frutas, hortalicas e legumes;MANUFATURA;BENS DE CONSUMO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;252492.5646755939;0.0-0.5M;7320;6.0;73511.3740350193
T02262;CDU  MED SEG TRABALHO NG TRAD;CDU TOTVS SERIE T;SAOPAULO;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgencias;SAUDE;HOSPITAIS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10241.576047019256;0.0-0.5M;10688;0.0;0.0
T02266;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;SAOPAULO;Atividades de organizacoes religiosas;SERVICOS;PROVEDOR SERVICOS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;28502.152954495978;0.0-0.5M;7502;2.0;0.00840771473583952
T02282;SMS TOTVS TEC USER;CDU TOTVS SERIE T;PETROLINA;Atividades de associacoes de defesa de direitos sociais;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;34520.12611553837;0.0-0.5M;10644;0.0;0.0
T02312;CDU TOTVS I TRAD;CDU TOTVS SERIE T;MOCOCA;Fabricacao de bicicletas e triciclos nao-motorizados, pecas e acessorios;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;12574.111530753748;0.0-0.5M;10631;0.0;0.0
T02345;PROGRESS USER 11 CDU;CDU TOTVS SERIE T;ARACARIGUAMA;Fabricacao de artefatos de material plastico para usos industriais;MANUFATURA;METAL-MECANICO & PLASTICO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;29327.260855527027;0.0-0.5M;10610;0.0;0.0
T02382;SMS TOTVS TEC USER;CDU TOTVS SERIE T;LEME;Comercio atacadista de alcool carburante, biodiesel, gasolina e demais derivados de petroleo, exceto lubrificantes, nao realizado por transportador retalhista (TRR);LOGISTICA;ATACADISTA E DISTRIBUIDOR;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;56493.10424148081;0.0-0.5M;4896;5.0;27458.2090543205
T02413;CDU LGT AGRO G. AGRIC TRAD;CDU TOTVS SERIE T;DOURADO;Fabricacao de alimentos para animais;MANUFATURA;BENS DE CONSUMO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;47698.563162217455;0.0-0.5M;7025;0.0;0.0
