CD_CLIENTE;DIAS_CLIENTE
TB3495;4637
TFDRCF;639
TFDSHY;549
TFECVM;296
TFEEJX;208
TEZOCL;2355
TFBJYI;3043
TFDOS2;783
TEZMJ3;3644
TFCLHN;1719
TA8480;5532
TFBXL9;2964
TDCEUK;1837
TDCG5R;1760
TDC80N;1048
TFCWKK;1574
TCBIRJ;3587
TB3935;4293
TDCH93;990
TAALX9;7643
TB6386;3035
TFDRGJ;631
TEZEK7;5514
TFDUMJ;451
TFCVD4;1641
T35116;6841
TFCXA8;1549
TDCFKH;996
TDCGEJ;2566
TA4358;5599
TFDU41;485
TFDU15;486
TA3496;6234
TDC30T;4954
TFDGNU;1048
TFBK43;3036
T75794;6109
TAAFTN;5451
T75656;5449
TFCYY0;1462
TFDGTN;1035
TEZETL;4344
TDCCVP;1304
TDCFDP;4199
TFDMIO;877
TFEEBE;226
TDCEGW;1271
TEZOOL;3401
T10019;8986
T49030;5620
TDCCTS;817
TFDDT7;1173
TCAUJR;2932
TDCACL;936
TFEBNX;356
T04205;9785
TEYJDV;4829
TEZEY2;7772
TB4007;4246
T06187;9300
TEF142;2568
TEYIZV;4839
TFCVIC;1635
TFDSNB;542
TFCXO7;1532
TDCF6J;888
TFDB61;1304
TFCPU7;1934
TFEDUQ;241
TFDPWK;723
TFBO27;4294
TDCGJC;1045
TEZUT6;3282
T43025;4945
T43322;4784
TDCEC3;2722
T10570;8166
TEZOMO;3449
T07589;8849
TFECRR;298
TB0151;10121
TDCD0M;2677
TEZDG5;4468
TDCFBR;507
TC8493;4286
TFCTGX;1742
TFDGGS;1060
TDCCLD;3951
T15403;6992
TEWERY;5197
T20520;5175
TDCG2Y;947
T53707;6863
TEZAUP;5191
T05034;9578
TFDA81;1362
T01695;7829
TEZAPV;4717
TDCEF6;1224
T60481;5521
TFDNO8;844
99069;2943
TDCD8A;1200
T47145;1770
TEZKPL;3797
TEZIBV;4741
TCANJJ;4519
TDC9TS;1179
TFCJST;2214
TDCEWY;1220
TFCXOT;1525
TCBDCP;3299
TB1823;5820
TFDGN4;1049
TFDUFM;468
T54131;6298
TFCUCP;1696
T30616;5086
TFDAP1;1329
TB5056;2522
T16639;6583
TFDDKW;1181
TDCD1U;1425
TEXCN4;5106
TFCCR7;2490
TFDRQG;599
TFDGS7;1038
T23569;12287
TFDXZK;363
T15648;6905
T36635;5350
TEZD14;4491
TF1264;3250
TEZMFC;3656
T76352;6002
TFALIA;3173
TFCH98;2313
TFDRZ3;573
T02542;10509
T28250;4748
TDC0NZ;3399
TCA303;2424
T53733;6891
T22782;5350
TFCURJ;1668
TFBKI1;3006
T60842;5197
T01060;5564
TFCVN8;1531
TDCDH2;1480
TFDTOY;513
T08810;8598
TFDS29;571
T77119;5501
TFEDGI;268
T25719;11695
T03067;10265
TFDO81;814
TDCDXY;3142
TFDUHI;459
T42559;5689
TDCGTA;1522
TDCFUO;869
TEYYP8;5409
TDCFAL;2564
T79168;5588
T51907;5469
TFECXR;293
TFDOWR;772
TFDRNZ;600
TFDHMB;1004
TFBYMR;2697
TDCCOH;1098
TDCFTN;1160
TFCMT0;2104
TFDVM1;387
TDCEDM;3095
TDCEKK;1112
T03061;657
TEZIYN;3953
T48395;4532
TFBXYN;4216
TFBNNV;1888
TEXNAT;6604
T84205;5254
T26323;11549
TFCRAH;1861
TDCEJD;417
TEWTV8;5143
TFCIFG;2265
TA3016;3623
TFCOJ2;2032
TFDSQE;205
TFDGKE;1056
TEZIF3;4021
TFDBSI;1271
TFDH50;1026
TDC088;4008
T23280;12350
T06661;5450
T36084;9460
T12530;9790
TDC34I;2243
TFDRI0;621
TDCCQT;424
TFDGIE;1059
T16800;5431
TFBWB0;2733
TFDJLP;2188
TDCDN0;835
TDCFD1;2082
TB0598;4430
TEZMS6;3618
T17230;6442
T84428;4435
TDCFD6;2439
TEXCLX;5116
TEZNRD;2963
TEZIHF;4010
T53755;6689
T57422;5787
TB3034;4754
TEZD71;4484
TFDCM7;1217
TB1479;6195
T16603;6572
T20056;12478
T84886;5840
T56562;5759
TFDFG9;1102
TEXFJG;5051
TFCUI7;1685
T02312;10631
TEZCKV;4542
T53339;12988
TDCH7V;1577
TEZIS9;3981
TFDMZK;866
TFCHT0;3859
TDCD5P;1755
TFDDN4;1179
TFDMWC;860
TFDCX5;1209
T07903;6018
TDCG65;1088
TFDGDC;1066
TDC0AQ;3065
TFBEAQ;3139
TFC486;2609
TFDNAH;858
TFDPHI;752
TA8057;5546
TFDQ31;711
TFD750;1381
TFCPN1;1945
TFDMDS;877
TDCFLB;1690
TEZFK6;4300
T00018;8664
TAAJU5;5394
TDCA9I;965
TDCH2O;2104
TFDS88;570
TFDSAF;570
TFCQGF;1909
T00631;9789
TDC821;1244
TEZNHC;3572
TB4649;2361
TFCAXW;2552
TCAWPS;5715
TDC0QC;2121
TDC01Z;1938
TEZEYQ;4495
TFBKE0;3023
TEZDJH;2701
TFCGMQ;2336
TFCANY;5379
TDCDK3;620
TEZHWK;4560
TFEDAH;282
TDC0SI;4281
TFCUFE;2214
TDCDBW;1958
TDCEQG;1327
TFDCXW;1209
TFDVIR;391
TFBZSE;1696
TA3529;4106
T50223;5752
TEZJM9;3903
TB4652;3731
TEVRVQ;5871
TFCB06;2550
TEZNRP;3518
TFCISO;5135
TFDSMC;542
TFDFEY;1103
TCANCE;4191
TFDVQI;367
TAAFZJ;5441
TFDCVW;1209
TFDF54;1111
TEXMZ7;4986
TFDE75;1157
TFBKOS;4576
TEVZY8;2442
TDCEMS;478
TFECSR;298
TFECUH;295
T35324;8600
TFCYK6;1483
TFDDBG;1195
T14190;8759
TEYWC6;4757
TFBOEI;3329
TFCXLS;1529
T15289;7023
TFCYHE;1489
TDCDWL;1089
TFEBS5;354
TFECLM;311
TFDVE3;405
TDC9ZF;1017
TCAXVZ;4297
TDCFJ1;3029
T15169;5816
TEZDCD;4477
T37194;5409
TFDRMH;605
TFDGF0;1062
TFCHLI;2299
T07784;7384
TEYYXN;4737
TFDKJV;879
TDC1O0;257
TFEDSS;247
TDCH77;1735
TFDQZ5;655
TEZHY1;4050
TDCA1G;1157
TEYVXR;4769
TDCGZK;1502
TA2544;8581
TFEBSZ;436
TAAJWO;5389
TFDRUA;582
TA2895;4629
TFEEN7;206
TFCSYO;1756
T17526;5913
TFCDR6;2466
TFCVOL;1588
TFCDNG;2469
TFEBPJ;356
TFDEVB;1119
TB5367;387
TFDJLA;900
TFCQ13;2762
TDC0GL;3065
TEXSKL;4939
TDC71F;867
TFCUN9;1672
TD2587;514
TFEBYR;333
TEWBTY;5661
T09590;11419
TFBX19;4986
TDC549;1351
TFDHR5;997
TFEDCX;277
TAA687;5758
TFD845;1375
T53741;6862
TDC0NF;314
TDCD20;1262
TFCUYZ;1698
TDCFZN;1430
TFDIGN;916
TDCH5F;1090
TFEEYP;181
TB1438;6202
TFCSFE;1789
TFDRAT;642
TFDBQK;1271
TFCEK7;2426
TFCVSO;2441
T60330;313
TFDTK3;524
TFCVED;1640
TB2359;4840
TDCCGU;1640
TFCAZ9;2551
TDCDEG;1819
TDCD47;1108
TDCH0U;1087
TEWBJ0;5322
TFDEHN;1144
TFCDWF;2453
TFDTLN;520
T33230;4953
TFDTYY;489
TEZKIQ;3827
TEZNKZ;3541
T45686;5259
TEYVPL;4792
TFCPQ6;1941
T89690;5806
T84651;4385
TFDRSO;857
T42748;6871
T18038;5364
TFEDZC;233
TFDNNW;844
TDCDES;1384
TFCPEZ;1970
TFBXBW;2701
TFBN23;1239
TFED58;285
TFCRX4;1817
TFDBXI;1263
T04506;7600
TFDJDY;908
TFCTPM;1727
TFBAOA;3148
T30580;5653
TDCD5V;1704
TFCSWQ;1759
T57156;5538
TFBYLO;7416
TFDOT9;782
TFEEMT;207
TDC9VM;989
TDCCSJ;1027
TFEDEZ;275
TFDUGY;461
TFDDCD;1194
TDCHCY;353
TFCINP;2252
T16898;4657
TEZCK6;2551
TFATQU;3156
TFCNNT;4812
TB1014;6653
TFDV53;418
TFDTRQ;509
TB0738;6409
TFDNB2;857
TFCLM0;2152
TDC168;3491
TFDRQD;597
T73774;5861
TDC32H;4954
T11727;5654
TC7801;5457
TFDEL8;5703
TFCTKP;1738
TDCH9C;751
TFDREE;633
TCBDRJ;3246
TFCTEM;1747
TFDKKV;878
TDCH2L;1178
TEZBSK;4622
T11287;7856
TEVVOI;4608
T06619;10483
T12991;7571
TEZEIQ;5162
TFDIRI;936
TEVVOX;5469
TFDCGE;1241
T54276;6324
TFEBM6;359
TB3732;4076
TFDTVM;496
T56447;4980
T02553;6663
TFDHQ1;998
TFDSP8;538
TFCMVY;2099
TFDSN8;542
TFDFYI;1077
TCACIJ;4290
TEZKG6;3835
T35269;5596
TB3150;4446
TFC442;2610
TDCGPF;1462
T44505;13319
TDCE2N;1791
TFDPWH;723
TFDNX0;822
TFECV2;296
TFDDHM;1185
TEZSPO;3376
TB1393;215
TFDUJK;457
TDCAF2;877
TDCGGD;2301
TFBREI;2838
T41835;5372
TFDHUD;992
TDCGDG;1189
TFEEYH;181
TEZI41;4041
TFBKJV;5050
TDCCDI;1885
TAAHV1;5441
T13825;5959
TFBME0;3978
T15532;4181
TEZMNA;3644
TEXYF9;4855
T74551;5413
T13485;7461
TDCF7G;1221
TFCZ45;1458
TFDFAG;1116
TFCVQN;1612
TB1613;4259
TEZGCY;5087
T12230;7730
T17391;6396
TFBYS9;2671
TDCDOB;755
T13630;6963
TFDTKS;522
TDC34S;2316
TDCG45;1101
TFDOSP;783
TFD068;1411
TC0231;3295
TFCAW6;2554
TEZODH;5490
T01777;6675
TDCF28;859
TDC569;1359
T01205;8677
TFBKDD;4650
TFBX00;2704
TEZLQS;4222
TDCDRJ;450
TEZFYE;2974
TFECMM;304
TDCA28;1017
TFDDDI;2974
TDCFBE;1783
TFDPC0;754
T07651;12251
TEZUKA;3298
T46585;7691
TFDQWW;661
TEZKUE;3777
TB4135;4236
TDCDXV;4830
T25483;4934
T16736;6584
TB0713;7321
TFCWMV;1574
TEXHX8;5774
TFEDI0;265
TA4200;5613
TFCDJM;2475
T48771;5288
TFDCNH;1221
TB6273;3150
T32772;11329
TDCGN0;527
TC0975;4066
TFDURW;447
T76425;6211
TFCWI5;1579
TFDSQX;530
TFDQ70;703
TFBKN0;3721
TEZFK5;4287
TFCTVA;769
TB6670;1767
T15954;6841
TFCX53;1561
T74380;5084
TDCGYY;1483
T09624;8248
TFCTED;1742
TDCE37;2587
TEXCST;5105
TDCE5V;886
TFBQU1;2860
TFDU02;486
T59297;6921
T02076;6530
T60379;5555
T53742;6830
T15145;7067
TCBLNR;3303
T17941;8028
TFDRLZ;569
TEW751;5511
TEZFET;4314
TB2850;4948
TFDGO2;1048
TDCE1L;1410
T30420;3411
TFCXNF;1529
TFCOX6;2007
TDCA7E;1284
TDCFGM;877
T31424;5625
TFDHIT;1007
TFDQL9;677
T14622;7104
TFEBFL;361
TFDVKG;387
TDCHBG;359
T13864;5436
TFCHSS;2280
TA2727;6736
T42060;8517
TAAM13;5365
TDCC7B;1581
T17423;4953
T52484;5198
T10145;7795
TDCC7Q;859
TFCCHY;2495
TFDCYJ;1209
TFDHDL;1018
TFCZ08;1460
TAAOL8;5323
TDCCMF;614
TFCIJO;2250
T22081;4514
T53440;5529
TEZCRK;2672
T48590;5751
T09978;4729
T47828;5322
T39299;8858
TFDPFE;753
T20602;12808
TFCVML;1697
TFDP99;1833
TEZFM5;4146
TFCH97;2313
TFDIVV;815
TEZJPD;3908
TFEDUK;242
TFDODT;877
TD0010;4511
T03062;10259
TFEBF9;362
TCAQDH;3289
TFEDI5;265
TEZEBG;4391
T15393;11986
TFDVJX;388
TFEBQ6;356
TFAIMQ;3187
T16658;6582
T75442;6547
TFDAFD;1346
TFDNNT;844
TDCEUZ;1028
TB3744;4408
TEZFXH;4239
TB4332;4024
TFCV88;1649
TFDGHO;1059
TFCRH2;1847
T84408;6098
TCAKMJ;1159
TDCD74;1305
TFECP4;304
TEZEDE;4378
TFDG01;1070
T98737;5653
TFDQTU;661
TFEDJI;258
T04467;10153
TFCVTU;1607
TFDRKD;611
T10952;6463
T81376;5715
TFCC79;2511
TDCG8R;1649
T03154;10265
TFCMCE;2125
T25037;11897
T73747;5658
TA3945;7499
T18100;6102
T49920;6990
T42506;8432
TDCEA2;1431
T14354;7265
TEXXYS;4869
TFDUPT;450
TDCF86;1668
TFCJKV;5709
TDCEO1;1459
TFDVMR;386
TDCCP9;904
T46764;7600
TB2980;3973
TFCYLH;1483
TDCGY6;2551
T07885;8794
T76488;5814
TFDOPJ;786
T17243;6430
TDCE06;821
TEZUTH;3281
TFDSP1;538
TFDRD6;635
TFDSDD;562
T40259;4645
T98613;5659
TFDEAG;1152
TDCF5T;2426
TB6218;3242
TD0123;4399
TFCRF2;1823
T05821;9396
TDCE73;1158
T24898;4661
TAAK79;5382
TFBLXB;2882
TFCXHC;1543
TFBSJX;6535
TDCGI0;4078
TA2591;6726
TDCE3K;2573
TFBRQP;2816
T37248;5500
TFEEO6;205
T16927;3672
T49499;7087
TEZLRL;3705
TC2177;2852
TD3499;765
TB0718;4795
TFDNP8;2574
T08807;6782
TFDSM8;542
TFDBBF;1370
T52235;5105
TFDBL6;1279
T76719;5822
TFBXY4;3652
TFDNOI;844
TAAOJH;4020
TFCVXB;1605
TDCG1O;2077
TFBOHB;4232
TDCD6L;4030
TFBXLM;4629
TB4582;1656
T58234;4461
TFBKJ3;2214
T31489;4584
TDCC61;1315
T02421;10574
T84612;5939
T94476;5714
TFDQH8;691
TFDTQ4;510
TEXVGX;4881
TFDNY3;818
TEXK90;5135
TFDVRR;369
TFDOJB;795
TFBNWM;2978
T53501;5205
TFDCK2;1224
TFBYF1;2945
TEZBOG;5500
TFBW84;2734
TEXKEW;5018
TEZOUH;3380
T00151;11527
TDCD1Q;1909
TFCFUN;2368
TFCXBZ;1546
TDCDG2;1434
T16677;6596
TEZGID;4199
TDC8BD;1122
T76921;5758
TFBWU0;2706
TFDJFT;906
TEXKM7;5021
TFCSM8;1775
TFCIA2;2277
TDCGYP;695
TDCC59;990
TDCC44;829
T76762;6603
TFBOGH;3496
TEZGB2;4216
TFCKY0;1378
TEF006;2470
TFBKS2;2978
TFBKBH;6878
TB5891;3324
TFBX81;2701
TFDJCY;1174
T57089;6254
TFCBJU;3048
TFCGOQ;2336
TB3482;4547
TDCER9;4919
TEYSXM;4576
TFCSI4;5414
T02519;10517
TDC851;1455
TDCH2V;1405
TFCHKQ;2300
TFBTVK;2694
TB3336;4714
TFCTQD;1727
TC6234;4358
TFDDKT;1181
TEVVOR;5469
T50456;3540
T28475;4834
TFDOR7;783
TDCE9C;418
TDC1KY;5864
TDCGOH;628
TEZSP1;3313
TFDTW4;495
TFDP20;761
TDCDPC;730
TFBXLA;6726
TFDMBJ;877
TDCFPS;1647
TDCE6O;1858
T05948;5808
TB0715;4642
T05563;5368
T14390;12998
TFDAP2;1329
T22247;5732
T75274;5795
TFCWUB;1558
TFEESO;198
TEZDEH;4469
TDCEEJ;844
TEZBN5;4629
TEVVM8;5605
TDCDRN;4056
TDCA3L;1626
T47965;6802
TFBTEA;2790
TEZDO1;5728
TFDPUY;724
TFDGWT;1028
TDCELL;790
TEZO53;4926
TDC014;4587
TFDO54;815
TFBKDW;3023
TFDJPV;886
TFCMP6;2218
TEZCPQ;4527
TFECUM;296
TDC0PH;2121
T17436;8322
TDCGLH;1238
T07665;8831
TFDEDV;1150
TAAFYX;5442
TDC9RK;1028
TD0078;5507
TCBBAU;306
TDCGJ9;2797
T24293;12070
TFDVCE;412
TFDNZ1;818
T45331;7948
T23009;5386
TCAGYB;2684
TDCG7L;1308
T58490;6095
TFBXUB;4492
TFDUDK;473
TFDUQH;450
TFCWLD;1574
TFCZQI;1427
TFBJZF;3044
TA3893;8427
T01085;4875
TFDBIH;1283
TB0487;4338
TFBO69;3303
TFDORV;783
TFCPNW;1943
TFDVM6;387
T08223;5739
TFDABY;1329
TFCA40;3277
T15086;7076
TFBYGF;5591
TFDVGK;398
TCAYQ5;4951
T40977;8696
TB3756;4361
TFCQTL;1878
TB4128;3417
TFDB46;1304
TAA672;5500
TEZL01;3772
TCANUZ;3315
TFDPXS;723
T18071;6927
TFDTMF;517
TFDQF6;685
TDCGNF;205
TFBLAI;2944
TDCHCQ;346
T52473;5781
TFBWSY;2707
TEWEF8;4794
TFDNVV;821
TFDOMM;788
TFCWN5;2117
TEZOWF;3370
TDC9WV;1077
TDCENP;607
T16313;10736
TFBJR5;3097
TFDCWN;1209
TAAHTC;5119
TFCZH7;1448
TFBZGS;2664
TFCZOA;1431
TFCHBU;2309
TCAMFE;1179
TCAVJ1;4814
TDCFJ9;1606
T08539;8677
TFDEMR;1135
TDCC5O;1712
TFCFUL;2368
T35475;9543
T54071;6316
TFCABC;2585
TFEE01;233
T07422;4825
TDCCJC;793
T84693;5561
TFBLG2;3518
T32403;4401
TDCF3J;419
T09514;8564
TFDAMP;1332
TFCX80;1554
TFEEXR;184
TDCF7S;829
T43460;4552
TFBSVT;2792
TEXHN8;5063
T80605;6480
TDC1IY;212
TDCA2L;1409
TFDGKO;1056
TFDNOJ;844
TA3260;5881
T55970;10694
TDCGVQ;598
TFDDJ8;1181
TDCD69;1150
TDCET0;1228
T14072;3672
TFDED0;1150
TDCEN1;2215
TFDRVS;579
TEVP48;4870
T60230;6202
TFCOKA;2032
TFEC01;312
T22870;7359
TFBKZP;2957
TAAOGF;5331
TFBZGV;2663
TFDVH0;396
TDCGLK;611
TFDFT5;1087
TFDSKA;543
TB4726;3812
TDCFUZ;395
TDCGSP;408
T98882;5634
TFCIWG;2244
T10022;7522
TDCH83;545
TAAK82;4800
TFCEQL;2418
TFCREU;1853
TFDUQR;450
TFCIF9;2265
TA2896;4913
TFCWE0;1587
T51693;4708
TFBKKT;1619
TDCE25;464
T94480;5721
TFAH29;1167
TEF548;2749
T61924;5298
T36732;9405
TDCFMJ;1559
TB1169;4157
T35768;3398
TCAN66;5722
TA3030;4400
TEZUT1;2368
TFCB10;2550
TDC9V3;1382
TFDE87;1153
TFEEPH;205
T89953;5788
TDC1FK;6991
TFDQX3;661
TFCDZI;2445
TFDAEU;1209
TFDATM;1306
TDCFYK;2852
TFDVTE;367
TFDSST;529
TB5745;3338
TDCCQ0;2868
T39512;5087
TFECXX;293
TFCIVL;2244
TFBTHK;2783
TB1856;4532
TFDTSB;509
TFCDJL;2475
TFDSEL;557
T16698;7418
TFCVYK;1605
TFDJ02;920
TFDOKV;793
TFDRLI;606
TEXFDS;5079
TEWBP2;5291
TDCCUM;1334
T09817;8336
TFCY17;1510
TFCODW;2040
TC8613;5244
TEZNI8;9596
T10982;7104
TFEDJ6;264
TFDIUN;929
TDCG72;3649
TA2973;8421
T60480;4470
TEVVPK;5469
TDCAA7;968
TEWBIY;5322
T06583;9043
TDCHA2;1900
T08492;8613
TDCDMR;1179
TDCF9D;1552
TEZFIT;4296
TFBUAI;2749
TFCZR4;1426
TFCGV0;2267
TFDPVI;723
TDCCQ9;2565
TDCFH8;1510
T33428;10608
TFDGMZ;1049
TFCICA;2272
TB4864;3719
TDCFPG;1045
TDCE1T;2537
TDCA1A;1392
T08383;8687
TDCDLC;1539
TFDU82;481
TFDBMC;1278
TDCG6D;2301
TB2448;4130
TB2307;4887
TDCE4Q;1335
T81649;5724
TA3134;4820
TA3743;5302
TFD181;1404
TCAWRC;5052
T08203;8697
T06654;9122
TEZKL6;5673
TFECY7;292
TFDOYM;766
TDCGDS;2821
T96701;5673
TFDBYW;1258
TFDG18;1070
TFDUZ8;418
TB1067;6752
TFCRA6;1861
TFDRFJ;632
TFDPZK;716
T20139;4625
TDCFNF;690
TFAIKM;3191
T76342;5322
TFCPU0;1934
TEZASZ;4708
TB0835;4461
TFDUMM;451
TDCH8Z;825
TFBLP9;2909
TC2565;1453
TB3142;4481
TDCGSB;1355
TDCFHF;1976
TB2329;2943
TDC9RS;1056
TFDOYN;766
TDC522;1451
TDC85B;1409
TA3249;5365
TDCF3S;598
TDCEPI;1346
TFAAZF;3218
TFDQFV;691
TFCRO0;1787
TDCABS;919
TCAHOI;3694
TD0718;2887
TDCC7H;2265
TDCDU1;2232
TDCG9F;1059
TFDEE4;1150
TDCDGY;1878
TFCKJQ;2186
TFDVIW;390
TEZMWQ;5422
TEZIG1;4017
TDCHAS;356
TFDR02;615
T51520;5392
TFDBT7;1270
TDCEDN;1342
T27050;5441
TFDVRV;369
TFCZFS;1452
TFCXO2;1532
T15034;7073
T56348;11420
TEYSW3;536
T27772;9433
TFBJZK;6088
TDCFCL;1340
TFDSXV;206
T76135;5417
T77784;1739
TFBZWB;2641
TEVVHT;5501
TDCCBC;440
TFCETU;2413
TFDRKK;611
T03108;6124
TB1733;5679
TEZATG;5773
TFBNA1;626
TDCEGZ;1497
TFDUZI;422
TDCGM8;692
TFECRG;299
TFDQV1;661
TFDJKJ;901
TFDUL2;437
