CD_CLIENTE;DS_PROD_moda;DS_LIN_REC_moda;CIDADE_moda;DS_CNAE_moda;DS_SEGMENTO_moda;DS_SUBSEGMENTO_moda;MARCA_TOTVS_moda;MODAL_COMERC_moda;PAIS_moda;PERIODICIDADE_moda;UF_moda;VL_TOTAL_CONTRATO_soma;faixa_vl_total_soma_contratos
T01872;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;NOVALIMA;Fabricacao de fornos industriais, aparelhos e equipamentos nao-eletricos para instalacoes termicas, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;28723.868595937434;0.0-0.5M
T01877;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SAOROQUE;Comercio atacadista de materiais de construcao em geral;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;71218.28754882542;0.0-0.5M
T01899;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Edicao integrada … impressao de revistas;MANUFATURA;PAPEL & CELULOSE;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;4960.9384490231705;0.0-0.5M
T01901;CDU CORPORATIVO RB1.3 TABELA C;CDU TOTVS SERIE T;JOINVILLE;Compra e venda de imoveis proprios;MANUFATURA;BENS DURAVEIS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SC;32595.56658164577;0.0-0.5M
T02029;AG.WN01.CsA;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Hoteis;HOSPITALITY;HOSPEDAGEM;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;3500.5141955504737;0.0-0.5M
T02069;SMS TOTVS TEC USER;CDU TOTVS SERIE T;BELOHORIZONTE;Comercio varejista de outros produtos nao especificados anteriormente;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;49953.17594578012;0.0-0.5M
T02072;CONTR.MANUT.DESENV.ESPEC.;CDU TOTVS SERIE T;ITATIBA;Fabricacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;64146.11307562978;0.0-0.5M
T02076;CDU CORPORATIVO RB2.3 TABELA C;CDU TOTVS SERIE T;INDAIAL;Fabricacao de fogoes, refrigeradores e maquinas de lavar e secar para uso domestico, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SC;149736.4094666062;0.0-0.5M
T02084;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artefatos de material plastico para uso pessoal e domestico;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;16695.41354768233;0.0-0.5M
T02145;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;NOVAFRIBURGO;Fabricacao de artigos de serralheria, exceto esquadrias;MANUFATURA;BENS DE CAPITAL;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;RJ;436789.4867154718;0.0-0.5M
T02202;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Atividades de associacoes de defesa de direitos sociais;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;5275.807365880354;0.0-0.5M
T02235;CONTR.MANUT.DESENV.ESPEC.;CDU TOTVS SERIE T;SAOPAULO;Servicos de comunicacao multimidia - SMC;SERVICOS;UTILITIES;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;14401.969733612093;0.0-0.5M
T02250;SMS FULL TOTVS TRAD;SMS TOTVS SERIE T;SAOPAULO;Fabricacao de sucos concentrados de frutas, hortalicas e legumes;MANUFATURA;BENS DE CONSUMO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;252492.5646755939;0.0-0.5M
T02262;CDU  MED SEG TRABALHO NG TRAD;CDU TOTVS SERIE T;SAOPAULO;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgencias;SAUDE;HOSPITAIS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10241.576047019256;0.0-0.5M
T02266;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;SAOPAULO;Atividades de organizacoes religiosas;SERVICOS;PROVEDOR SERVICOS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;28502.152954495978;0.0-0.5M
T02282;SMS TOTVS TEC USER;CDU TOTVS SERIE T;PETROLINA;Atividades de associacoes de defesa de direitos sociais;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;34520.12611553837;0.0-0.5M
T02312;CDU TOTVS I TRAD;CDU TOTVS SERIE T;MOCOCA;Fabricacao de bicicletas e triciclos nao-motorizados, pecas e acessorios;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;12574.111530753748;0.0-0.5M
T02345;PROGRESS USER 11 CDU;CDU TOTVS SERIE T;ARACARIGUAMA;Fabricacao de artefatos de material plastico para usos industriais;MANUFATURA;METAL-MECANICO & PLASTICO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;29327.260855527027;0.0-0.5M
T02382;SMS TOTVS TEC USER;CDU TOTVS SERIE T;LEME;Comercio atacadista de alcool carburante, biodiesel, gasolina e demais derivados de petroleo, exceto lubrificantes, nao realizado por transportador retalhista (TRR);LOGISTICA;ATACADISTA E DISTRIBUIDOR;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;56493.10424148081;0.0-0.5M
T02413;CDU LGT AGRO G. AGRIC TRAD;CDU TOTVS SERIE T;DOURADO;Fabricacao de alimentos para animais;MANUFATURA;BENS DE CONSUMO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;47698.563162217455;0.0-0.5M
T02421;AHGORA ESTRATEGICO;CDU TOTVS SERIE T;TERESINA;Comercio atacadista de componentes eletronicos e equipamentos de telefonia e comunicacao;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;NAO INFORMADO;NAO INFORMADO;105;00 - Mensal;PI;6963.033928209687;0.0-0.5M
T02424;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SALVADOR;Armazens gerais - emissao de warrant;LOGISTICA;OPERADOR LOGISTICO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;BA;61835.83701665844;0.0-0.5M
T02434;SMS TOTVS TEC USER;CDU TOTVS SERIE T;LOUVEIRA;Impressao de material para outros usos;MANUFATURA;PAPEL & CELULOSE;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;29416.264923720642;0.0-0.5M
T02436;ADESAO TOTVS P;CDU TOTVS SERIE T;SAOPAULO;Construcao de edificios;CONSTRUCAO E PROJETOS;CONSTRUTORAS;CLOUD INTERA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;6290.265410477282;0.0-0.5M
T02500;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;129712.02853098605;0.0-0.5M
T02519;CDU LGT ESTOQUE E CUSTOS TRAD;SMS TOTVS SERIE T;SAOPAULO;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;VAREJO;VAREJO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;30427.08663169431;0.0-0.5M
T02523;CDU CORP TOTVS MANUFATURA RB1;CDU TOTVS SERIE T;SOROCABA;Fabricacao de tintas de impressao;MANUFATURA;QUIMICA & RECICLAGEM;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;7639683.001455274;7.5-8.0M
T02542;CDU CORP TOTVS DIST/LOG RB1;CDU TOTVS SERIE T;SAOPAULO;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;157943.86084515275;0.0-0.5M
