CD_CLIENTE;DS_PROD_MODA;DS_LIN_REC_MODA;CIDADE;DS_CNAE;DS_SEGMENTO;DS_SUBSEGMENTO;MARCA_TOTVS_MODA;MODAL_COMERC_MODA;PAIS;PERIODICIDADE_MODA;UF;VL_TOTAL_CONTRATO_SOMA;FAIXA_VLR_TOT_SOMA_CONTRATOS;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M;CLUSTER_3;CLUSTER_4;CLUSTER_5;CLUSTER_6;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
T00255;SMS TOTVS TEC USER;CDU TOTVS SERIE T;NOVAODESSA;Fabricacao de tecidos especiais, inclusive artefatos;MANUFATURA;BENS DE CONSUMO;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;8066,23;0.0-0.5M;4616;0,0;0,0;2;0;3;2;7,5;7,5;8,5;7,5;6,5;6,5;9,0;7,5;7,5
T00292;TOTVS TEC USER;CDU TOTVS SERIE T;FLORIANOPOLIS;Transporte rodoviario coletivo de passageiros, com itinerario fixo, intermunicipal, exceto em regiao metropolitana;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;21692,4;0.0-0.5M;7883;0,0;0,0;2;0;3;2;9,5;9,5;9,0;9,0;9,5;9,0;9,0;9,5;9,5
T00336;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de cronometros e relogios;MANUFATURA;BENS DURAVEIS;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;223983,08;0.0-0.5M;8787;3,0;546,19;2;0;3;3;8,75;8,75;8,75;8,75;8,75;8,75;8,75;8,75;8,75
T00361;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SAOPAULO;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;SERVICOS;PROVEDOR SERVICOS;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1440,92;0.0-0.5M;1436;0,0;0,0;2;0;3;2;;;;;;;;;
T00390;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SOROCABA;Fabricacao de aviamentos para costura;MANUFATURA;BENS DURAVEIS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;5814,38;0.0-0.5M;11524;0,0;0,0;2;0;3;2;8,75;8,5;9,0;8,25;8,0;7,75;8,5;8,5;8,75
T00538;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;CACHOEIRODEITAPEMIRIM;Aparelhamento de placas e execucao de trabalhos em marmore, granito, ardosia e outras pedras;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;ES;137709,45;0.0-0.5M;5504;0,0;0,0;2;0;3;2;9,33;9,83;8,83;9,0;9,33;8,5;9,17;9,0;8,83
T00546;CDU LGT G CAP HUMANO TRAD;SMS TOTVS SERIE T;MOGIDASCRUZES;Metalurgia do po;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;17430,91;0.0-0.5M;11395;0,0;0,0;2;0;3;2;;;;;;;;;
T00631;SMS TOTVS TEC USER;CDU TOTVS SERIE T;RIOGRANDEDASERRA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;20791,13;0.0-0.5M;9786;0,0;0,0;2;0;3;2;9,6;9,6;9,2;9,2;8,4;7,8;8,8;9,0;9,0
T00673;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Fabricacao de outros produtos quimicos inorganicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;40577,97;0.0-0.5M;8296;1,0;6782,37;2;0;3;2;8,5;8,5;7,5;7,5;8,0;7,5;9,0;9,0;8,5
T00686;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;VINHEDO;Fabricacao de adesivos e selantes;MANUFATURA;QUIMICA & RECICLAGEM;MANUFATURA - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;501943,58;0.5-1.0M;11524;3,0;0,26;2;0;1;3;8,0;8,67;8,0;8,33;8,67;8,0;8,0;8,0;8,0
T00737;CDU MNT ATIVOS NG TRAD;SOFTWARE COMPLEMENTAR;SAOPAULO;Fabricacao de artefatos de material plastico para usos industriais;MANUFATURA;METAL-MECANICO & PLASTICO;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;6560748,62;6.5-7.0M;12433;0,0;0,0;0;1;2;0;9,0;8,67;7,67;9,33;8,33;6,67;8,0;9,0;6,67
T00788;SMS TOTVS TEC USER;SMS TOTVS SERIE T;JAGUARIUNA;Desenvolvimento de programas de computador sob encomenda;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;282437,7;0.0-0.5M;5651;0,0;0,0;2;0;1;3;;;;;;;;;
T00831;CA.Adic.CsU;CDU TOTVS SERIE T;BELOHORIZONTE;Seguros de vida;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;120952,82;0.0-0.5M;12514;0,0;0,0;2;0;3;2;;;;;;;;;
T00931;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;DIADEMA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;SERVICOS DE IMPLANTACAO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;590,91;0.0-0.5M;9915;0,0;0,0;2;0;3;2;7,0;7,67;6,67;7,0;7,0;7,33;7,33;7,0;5,33
T00953;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Restaurantes e similares;VAREJO;VAREJO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;64837,47;0.0-0.5M;11524;0,0;0,0;2;0;3;2;7,8;8,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
T00971;SMS TOTVS TEC USER;SMS TOTVS SERIE T;PORTOALEGRE;Fabricacao de perifericos para equipamentos de informatica;MANUFATURA;BENS DURAVEIS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;18804,27;0.0-0.5M;9591;1,0;33,14;2;0;3;2;9,67;9,0;9,0;9,0;8,67;8,67;9,0;9,0;8,0
T01008;TOTVS TEC USER;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;90188,53;0.0-0.5M;11524;0,0;0,0;2;0;3;2;;;;;;;;;
T01060;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;CURITIBA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;19640,85;0.0-0.5M;5561;0,0;0,0;2;0;3;2;8,0;6,33;6,67;6,33;6,67;6,0;7,33;8,0;7,33
T01085;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPINAS;Fabricacao de artigos de metal para uso domestico e pessoal;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;50647,53;0.0-0.5M;4872;1,0;171,52;2;0;3;2;8,0;8,0;9,0;8,0;8,5;7,5;9,0;8,0;8,0
T01104;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;MURIAE;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;BACKOFFICE - PARCEIRO;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;151927,73;0.0-0.5M;7556;1,0;3369,18;2;0;3;2;9,5;9,0;9,5;9,5;9,5;9,5;9,5;9,5;9,5
T01127;SMS TOTVS TEC USER;SAAS SERIE T;DIADEMA;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;31453,89;0.0-0.5M;10229;1,0;4171,19;2;0;3;2;8,5;8,5;7,75;7,75;8,5;6,75;8,5;8,5;8,5
T01134;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOVICENTE;Fabricacao de defensivos agricolas;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;72549,81;0.0-0.5M;9869;1,0;476,14;2;0;3;2;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
T01173;SMS TOTVS TEC USER;CDU TOTVS SERIE T;VIANA;Fabricacao de produtos … base de cafe;MANUFATURA;BENS DE CONSUMO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;56742,72;0.0-0.5M;9250;0,0;0,0;2;0;3;2;6,0;7,8;5,6;6,0;7,0;5,8;7,0;6,0;6,4
T01205;SMS TOTVS TEC USER;SMS TOTVS SERIE T;CUSTODIA;Fabricacao de outros produtos alimenticios nao especificados anteriormente;MANUFATURA;BENS DE CONSUMO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;66370,4;0.0-0.5M;8674;0,0;0,0;2;0;3;2;7,67;8,17;7,17;7,33;7,33;7,0;8,17;7,5;7,33
T01254;PROG OPED STUDIO ND USR MNT;CLOUD COMPUTING.;CONTAGEM;Fabricacao de transformadores, indutores, conversores, sincronizadores e semelhantes, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CLOUD;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;31915,84;0.0-0.5M;6867;1,0;0,04;2;0;3;2;8,5;8,5;8,5;8,5;8,5;7,75;8,25;8,5;8,5
T01259;CONS TEF MULTILOJA;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;30385,36;0.0-0.5M;4309;3,0;12070,21;2;0;3;2;8,0;9,0;6,67;9,0;9,0;6,33;7,67;9,0;7,33
T01346;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SANTOANDRE;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgencias;SAUDE;HOSPITAIS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;1808,95;0.0-0.5M;10872;0,0;0,0;2;0;3;2;8,75;8,75;8,25;8,75;8,75;8,75;8,75;8,75;8,75
T01351;ADESAO TOTVS P;CDU TOTVS SERIE T;PORECATU;Fabricacao de acucar em bruto;AGROINDUSTRIA;SUCROENERGETICO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;41256,26;0.0-0.5M;11269;2,0;6144,01;2;0;3;2;9,0;9,0;8,0;8,0;9,0;8,0;8,0;9,0;9,0
T01352;PROGRESS USER 11 CDU;CDU BEMATECH;BARUERI;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;MICRO E PEQUENOS NEGOCIOS (FOOD);MODALIDADE TRADICIONAL;105;00 - Mensal;SP;96343,91;0.0-0.5M;11271;0,0;0,0;2;0;3;2;;;;;;;;;
T01356;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;JAU;Fabricacao de acucar em bruto;AGROINDUSTRIA;SUCROENERGETICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;857,5;0.0-0.5M;5036;0,0;0,0;2;0;3;2;10,0;10,0;9,33;9,67;9,67;10,0;10,0;10,0;9,33
T01384;ARREND E LOCACOES STANDARD;CDU TOTVS SERIE T;UBERLANDIA;Comercio atacadista de mercadorias em geral, sem predominancia de alimentos ou de insumos agropecuarios;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;278468,86;0.0-0.5M;8014;2,0;2134,98;2;0;1;3;9,0;9,0;9,0;9,0;9,0;7,0;9,0;9,0;9,0
T01436;CES.DIR. COOP/COM;CDU TOTVS SERIE T;JUNDIAI;Perfuracao e construcao de pocos de agua;CONSTRUCAO E PROJETOS;CONSTRUTORAS;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;411750,43;0.0-0.5M;5537;1,0;38667,75;2;0;1;3;9,67;9,0;9,33;9,67;9,67;7,0;9,33;9,0;8,0
T01440;ASSINATURA MENSAL INTERNET CMN;SMS CMNET HOTAL;ARACAJU;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SE;5898,62;0.0-0.5M;10683;1,0;117,93;2;0;3;2;3,75;2,75;2,5;3,0;3,5;3,5;3,75;3,75;3,5
T01487;CDU CORPORATIVO RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;13003,3;0.0-0.5M;11181;2,0;0,01;2;0;3;2;9,0;7,75;7,75;8,75;9,5;7,0;8,25;7,0;7,75
T01502;CDU LGT GCH ON-DEMAND 100 TRA;CDU TOTVS SERIE T;PINDORAMA;Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;254287,99;0.0-0.5M;5663;8,0;90580,04;2;0;1;3;8,5;9,12;8,12;8,38;8,62;8,12;8,5;8,25;8,12
T01526;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artigos de serralheria, exceto esquadrias;MANUFATURA;BENS DE CAPITAL;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;18524,68;0.0-0.5M;11154;0,0;0,0;2;0;3;2;8,8;9,6;7,2;7,6;7,6;6,2;8,2;8,6;7,8
T01531;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;51792,76;0.0-0.5M;8613;0,0;0,0;2;0;3;2;;;;;;;;;
T01567;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;7885,1;0.0-0.5M;11126;0,0;0,0;2;0;3;2;8,5;8,5;7,0;7,5;9,0;7,0;8,5;8,5;8,5
T01637;CONTR.MANUT.FINAN.;SMS TOTVS SERIE T;RIODEJANEIRO;Agente de propriedade industrial;JURIDICO;ESCRITORIO DE ADVOCACIA;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;1947,42;0.0-0.5M;11049;0,0;0,0;2;0;3;2;;;;;;;;;
T01667;PROGRESS USER 11 SMS;CDU TOTVS SERIE T;COLOMBO;Fabricacao de cabines, carrocerias e reboques para caminhoes;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;8179,29;0.0-0.5M;10863;3,0;3352,04;2;0;3;2;8,0;8,75;7,5;7,75;8,5;6,25;6,5;7,25;8,0
T01670;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPINAS;Fabricacao de outras maquinas e equipamentos de uso geral nao especificados anteriormente, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;171096,32;0.0-0.5M;11048;2,0;2934,86;2;0;3;2;8,0;8,5;7,5;6,5;6,0;7,0;8,5;8,0;8,5
T01690;SMS TOTVS TEC USER;CDU TOTVS SERIE T;PORTOALEGRE;Construcao de obras de arte especiais;CONSTRUCAO E PROJETOS;CONSTRUTORAS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;205828,16;0.0-0.5M;8856;2,0;562,06;2;0;3;3;6,0;8,0;4,0;6,0;9,0;7,0;7,0;10,0;10,0
T01695;CDU CORPORATIVO RB2 - TABELA A;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artefatos de borracha nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;111779,26;0.0-0.5M;7826;0,0;0,0;2;0;3;2;9,67;9,0;8,33;8,67;8,33;7,67;9,0;9,0;8,67
T01702;CDU  MED SEG TRABALHO NG TRAD;CDU TOTVS SERIE T;MORUNGABA;Fiacao de fibras artificiais e sinteticas;MANUFATURA;BENS DE CONSUMO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10074,63;0.0-0.5M;4887;0,0;0,0;2;0;3;2;9,75;9,5;9,25;9,25;9,75;9,25;9,25;9,75;9,25
T01724;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;RECIFE;Fabricacao de obras de caldeiraria pesada;MANUFATURA;BENS DE CAPITAL;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;20236,94;0.0-0.5M;11004;0,0;0,0;2;0;3;2;8,75;8,5;8,75;8,75;8,75;8,25;8,75;8,75;8,75
T01726;ADESAO AVALIACAO DE DESEMPENHO;CDU TOTVS SERIE T;SAOJOSEDOSCAMPOS;Desenvolvimento de programas de computador sob encomenda;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;4128,53;0.0-0.5M;4196;0,0;0,0;2;0;3;2;6,5;7,0;6,5;6,5;6,5;6,5;6,5;6,5;6,5
T01743;SMS TOTVS TEC USER;CDU TOTVS SERIE T;BAURU;EDICAO INTEGRADA A IMPRESSAO DE JORNAIS DIARIOS;MANUFATURA;PAPEL & CELULOSE;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;69896,46;0.0-0.5M;5620;0,0;0,0;2;0;3;2;8,9;8,5;8,7;8,9;8,9;8,7;8,9;9,0;9,2
T01744;AHG GER. EXCEDENTE - BILLING;SAAS SERIE T;SAOPAULO;Desenvolvimento e licenciamento de programas de computador nao-customizaveis;SERVICOS;PROVEDOR SERVICOS;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1416,38;0.0-0.5M;276;1,0;1416,38;2;0;3;2;;;;;;;;;
T01759;ASP CORPORATE;CDU TOTVS SERIE T;BARUERI;Fabricacao de moveis com predominancia de madeira;MANUFATURA;BENS DURAVEIS;CLOUD;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;12113,43;0.0-0.5M;10976;0,0;0,0;2;0;3;2;8,5;8,5;8,25;8,25;8,5;7,25;8,25;8,5;8,0
T01773;MOD FLUXO CAIXA PLA ON PREMISE;SMS TOTVS SERIE T;SAOPAULO;Producao de gas, processamento de gas natural;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;GESPLAN;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10979,0;0.0-0.5M;10965;1,0;11571,34;2;0;3;2;;;;;;;;;
T01777;SMS TOTVS TEC USER;CDU TOTVS SERIE T;DIADEMA;Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10128,83;0.0-0.5M;6672;1,0;2764,63;2;0;3;2;10,0;10,0;9,0;10,0;10,0;9,0;9,67;10,0;9,67
T01846;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;TABOAODASERRA;Fabricacao de luminarias e outros equipamentos de iluminacao;MANUFATURA;BENS DE CAPITAL;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;94763,54;0.0-0.5M;10607;0,0;0,0;2;0;3;2;9,6;9,2;9,0;9,0;8,6;8,2;9,6;9,6;9,6
T01872;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;NOVALIMA;Fabricacao de fornos industriais, aparelhos e equipamentos nao-eletricos para instalacoes termicas, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;28723,87;0.0-0.5M;6195;2,0;0,01;2;0;3;2;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0
T01877;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SAOROQUE;Comercio atacadista de materiais de construcao em geral;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;71218,29;0.0-0.5M;10886;0,0;0,0;2;0;3;2;7,5;7,5;6,5;7,0;8,5;5,75;8,75;7,5;7,5
T01899;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Edicao integrada … impressao de revistas;MANUFATURA;PAPEL & CELULOSE;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;4960,94;0.0-0.5M;10871;0,0;0,0;2;0;3;2;8,0;7,5;6,0;7,0;7,5;7,5;7,5;7,5;8,0
T01901;CDU CORPORATIVO RB1.3 TABELA C;CDU TOTVS SERIE T;JOINVILLE;Compra e venda de imoveis proprios;MANUFATURA;BENS DURAVEIS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SC;32595,57;0.0-0.5M;7582;2,0;0,02;2;0;3;2;9,0;9,17;9,0;9,0;9,0;9,0;9,0;9,0;9,0
T02029;AG.WN01.CsA;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Hoteis;HOSPITALITY;HOSPEDAGEM;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;3500,51;0.0-0.5M;8246;0,0;0,0;2;0;3;2;7,0;10,0;7,0;7,0;7,0;7,0;7,0;7,0;7,0
