CD_CLIENTE;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
T03062;8.666666666666666;9.0;8.333333333333334;8.666666666666666;8.666666666666666;8.666666666666666;8.666666666666666;8.666666666666666;8.0
T03063;10.0;9.0;8.0;9.0;8.0;8.0;8.0;8.0;10.0
T03067;8.5;9.5;9.5;9.0;8.5;8.0;10.0;8.5;10.0
T03085;10.0;9.5;9.5;9.5;9.5;9.0;9.5;9.5;10.0
T03108;8.0;7.333333333333333;6.666666666666667;7.666666666666667;7.666666666666667;5.666666666666667;7.666666666666667;8.0;8.0
T03116;8.142857142857142;8.571428571428571;7.285714285714286;7.285714285714286;8.714285714285714;7.285714285714286;8.714285714285714;8.0;8.571428571428571
T03120;7.0;7.0;7.0;8.0;8.0;8.0;7.0;5.0;7.0
T03154;8.666666666666666;9.0;8.666666666666666;8.666666666666666;8.666666666666666;7.666666666666667;8.666666666666666;8.666666666666666;8.0
T03193;6.0;7.5;5.5;8.0;4.5;6.0;6.0;6.0;6.0
T03198;7.5;7.5;7.0;7.5;8.0;7.0;8.0;7.0;7.0
T03211;9.166666666666666;8.5;8.833333333333334;9.166666666666666;8.666666666666666;8.833333333333334;9.333333333333334;9.166666666666666;9.0
T03213;5.333333333333333;8.333333333333334;5.333333333333333;5.666666666666667;5.333333333333333;4.0;6.0;5.0;6.0
T03231;9.0;9.5;8.0;8.5;9.5;8.0;9.5;7.0;6.5
T03268;8.571428571428571;8.142857142857142;8.285714285714286;8.428571428571429;8.0;7.714285714285714;8.285714285714286;8.142857142857142;8.714285714285714
T03306;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0
T03309;8.2;8.2;8.2;8.2;7.8;6.6;8.0;7.8;8.4
T03314;8.0;9.0;7.0;7.0;9.0;7.0;7.0;7.0;9.0
T03315;8.5;8.5;7.0;8.5;8.5;8.0;8.5;8.5;8.5
T03356;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T03360;8.666666666666666;9.0;8.333333333333334;8.666666666666666;9.0;8.333333333333334;8.666666666666666;8.333333333333334;8.333333333333334
T03367;8.5;7.0;8.0;8.5;8.5;9.0;8.5;8.5;8.5
T03372;10.0;10.0;10.0;10.0;10.0;9.0;10.0;10.0;10.0
T03378;5.333333333333333;6.0;5.333333333333333;5.333333333333333;5.333333333333333;5.333333333333333;5.333333333333333;5.333333333333333;5.333333333333333
T03386;7.6;5.8;6.2;6.6;6.6;7.4;7.8;7.2;7.8
T03415;8.0;7.0;7.5;8.0;8.0;8.0;8.0;8.5;8.0
T03436;10.0;10.0;10.0;10.0;10.0;9.0;10.0;10.0;10.0
T03439;8.0;10.0;9.0;9.0;10.0;9.0;9.0;10.0;10.0
T03450;9.0;8.0;8.4;8.8;8.6;6.2;8.6;8.6;8.0
T03455;9.2;9.2;9.2;9.2;9.2;8.6;9.2;9.2;9.4
T03456;9.2;8.2;9.0;9.0;8.6;7.8;9.2;8.6;8.6
T03459;8.0;8.0;8.5;8.0;8.5;6.5;8.0;8.0;7.5
T03485;8.25;8.0;8.25;7.75;7.75;8.0;8.25;8.25;8.0
T03510;7.333333333333333;7.666666666666667;6.666666666666667;7.0;8.0;6.666666666666667;7.666666666666667;7.333333333333333;8.0
T03524;9.2;7.0;8.8;8.8;8.6;6.8;8.2;8.6;8.8
T03558;7.833333333333333;8.5;7.166666666666667;7.5;7.833333333333333;7.833333333333333;7.833333333333333;7.833333333333333;7.833333333333333
T03581;9.666666666666666;9.666666666666666;8.666666666666666;9.333333333333334;10.0;9.0;10.0;9.666666666666666;9.333333333333334
T03585;8.0;7.8;7.6;7.4;8.2;7.6;8.2;8.0;8.0
T03607;7.0;7.0;7.0;7.0;7.0;8.0;8.0;8.0;7.0
T03638;10.0;8.5;9.0;9.0;9.5;8.5;10.0;9.0;8.5
T03644;10.0;10.0;7.5;7.0;8.5;9.0;10.0;10.0;9.5
T03650;8.5;8.5;8.5;8.5;8.5;8.5;8.5;8.5;8.5
T03655;9.428571428571429;9.0;8.0;8.571428571428571;9.0;8.857142857142858;9.428571428571429;9.428571428571429;9.285714285714286
T03673;6.666666666666667;8.666666666666666;5.333333333333333;5.666666666666667;8.0;7.0;8.333333333333334;7.0;6.666666666666667
T03718;7.0;7.0;5.5;5.5;7.5;6.5;7.0;5.75;7.0
T03752;9.0;9.0;7.0;7.0;6.0;5.0;9.0;9.0;9.0
T03753;9.0;9.666666666666666;8.0;8.333333333333334;9.0;9.0;8.333333333333334;9.0;8.666666666666666
T03799;7.5;6.5;5.5;6.5;6.0;6.0;9.0;7.0;8.0
T03882;10.0;9.0;8.0;9.0;9.0;7.0;9.0;8.0;8.0
T03960;4.666666666666667;7.333333333333333;3.0;3.0;9.0;3.0;6.333333333333333;6.666666666666667;5.0
T03967;8.0;8.0;7.0;6.5;9.0;7.5;7.0;7.5;7.5
T03969;9.2;9.2;9.2;9.0;9.6;9.2;9.6;9.6;9.4
T03993;8.833333333333334;9.0;8.0;8.333333333333334;8.5;8.333333333333334;8.666666666666666;8.666666666666666;8.5
T04028;8.5;9.5;8.5;8.5;8.5;8.5;8.5;8.5;8.5
T04036;9.0;7.5;9.0;9.0;9.5;9.0;9.5;9.0;9.0
T04065;9.666666666666666;10.0;9.0;9.333333333333334;9.666666666666666;8.333333333333334;9.666666666666666;8.0;9.333333333333334
T04083;8.833333333333334;9.0;8.333333333333334;8.833333333333334;8.666666666666666;8.166666666666666;8.5;8.5;8.0
T04132;9.6;9.6;9.6;9.6;6.6;7.6;9.6;9.6;9.0
T04205;9.0;8.8;8.6;8.6;8.6;8.2;9.0;9.0;8.6
T04247;7.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0
T04251;8.0;5.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T04305;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T04325;8.0;8.25;8.0;7.75;8.0;7.75;8.0;8.0;8.25
T04366;7.0;7.0;7.0;7.0;7.0;7.0;6.0;7.0;9.0
T04396;9.166666666666666;9.5;9.166666666666666;9.0;9.5;8.166666666666666;9.0;8.833333333333334;9.166666666666666
T04398;7.333333333333333;7.0;7.333333333333333;8.0;8.0;6.666666666666667;7.333333333333333;7.333333333333333;8.0
T04404;8.5;7.833333333333333;8.333333333333334;8.333333333333334;8.833333333333334;8.5;9.0;8.5;8.5
T04411;8.8;9.0;7.4;7.8;8.6;7.8;8.8;8.4;8.2
T04467;8.666666666666666;9.333333333333334;9.0;9.0;8.666666666666666;8.333333333333334;9.333333333333334;9.0;9.0
T04491;7.0;9.0;6.0;6.0;7.0;7.0;7.0;6.0;6.5
T04506;9.0;9.0;9.0;9.0;9.0;8.0;9.0;9.0;9.5
T04586;8.5;8.5;8.5;8.25;8.5;8.0;7.25;7.75;7.75
T04610;6.5;8.75;7.75;7.75;9.0;7.5;8.5;6.25;6.5
T04630;9.0;9.25;9.0;9.0;9.0;9.0;9.0;9.0;9.0
T04697;7.0;9.0;7.0;7.0;10.0;5.0;10.0;7.0;6.0
T04819;8.333333333333334;9.166666666666666;8.0;8.0;7.666666666666667;7.5;8.0;8.5;8.5
T04851;8.75;8.75;7.75;9.25;8.75;8.5;9.0;8.75;8.25
T04859;7.0;7.333333333333333;6.5;6.0;7.333333333333333;6.666666666666667;6.333333333333333;7.166666666666667;7.666666666666667
T04867;9.0;10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0
T04870;9.4;9.2;8.8;9.0;8.8;8.4;9.2;8.8;8.6
T05049;7.0;5.0;7.333333333333333;5.0;8.333333333333334;3.6666666666666665;5.666666666666667;5.666666666666667;4.333333333333333
T05051;5.0;9.0;6.5;4.0;5.0;7.5;4.0;8.0;7.5
T05077;8.5;9.0;7.25;7.75;8.0;8.5;8.5;8.5;7.5
T05154;9.25;9.5;9.5;9.5;9.5;9.25;9.5;9.25;9.5
T05174;7.0;7.75;6.75;6.625;7.25;5.625;7.0;7.0;7.25
T05238;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T05248;8.666666666666666;8.666666666666666;8.666666666666666;8.666666666666666;8.333333333333334;7.333333333333333;8.666666666666666;8.666666666666666;8.666666666666666
T05251;9.4;9.2;9.4;9.4;9.4;9.4;9.4;9.4;9.4
T05273;9.333333333333334;8.666666666666666;9.0;9.0;9.0;8.333333333333334;9.333333333333334;9.333333333333334;8.333333333333334
T05353;8.666666666666666;8.666666666666666;8.5;8.5;8.833333333333334;7.333333333333333;8.833333333333334;8.833333333333334;8.666666666666666
T05357;9.25;8.25;6.25;6.75;8.0;9.5;5.0;9.25;9.75
T05395;5.0;7.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
T05409;8.666666666666666;8.333333333333334;7.0;9.333333333333334;9.666666666666666;6.0;8.666666666666666;8.666666666666666;8.333333333333334
T05435;8.0;8.0;0.0;8.0;10.0;3.0;10.0;8.0;8.0
T05500;8.333333333333334;8.333333333333334;8.333333333333334;8.333333333333334;8.333333333333334;7.666666666666667;8.333333333333334;8.333333333333334;8.0
T05513;6.0;4.0;3.0;6.0;7.0;6.0;6.0;6.0;6.0
T05519;7.4;7.8;7.2;7.4;8.0;6.6;7.6;7.2;7.4
T05563;9.666666666666666;9.666666666666666;9.0;9.666666666666666;9.666666666666666;8.5;9.666666666666666;9.333333333333334;8.666666666666666
T05606;9.0;9.0;7.75;8.25;9.25;6.5;9.0;9.0;8.5
T05615;9.0;9.5;8.75;9.0;9.5;8.5;9.0;8.25;8.75
T05618;10.0;9.6;9.2;9.8;10.0;8.4;9.6;9.6;8.6
T05621;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T05661;9.8;9.8;9.4;9.6;9.8;9.0;9.8;9.0;9.4
T05690;7.5;8.0;7.5;7.0;8.0;6.5;8.0;7.5;6.5
T05691;9.0;8.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0
T05704;9.0;8.0;8.0;8.0;8.0;8.0;8.0;7.0;8.0
T05720;7.428571428571429;7.857142857142857;7.142857142857143;7.142857142857143;7.142857142857143;7.0;7.571428571428571;7.428571428571429;7.428571428571429
T05748;8.0;7.75;7.5;7.75;7.5;7.25;8.75;8.0;7.0
T05762;8.0;8.6;8.0;8.0;8.2;7.8;8.2;8.0;8.6
T05787;8.0;9.5;9.0;9.0;9.5;6.5;8.0;8.0;7.5
T05793;8.0;5.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T05797;9.6;7.4;8.4;8.4;8.0;8.4;9.2;9.4;8.8
T05808;7.666666666666667;8.0;7.666666666666667;7.666666666666667;8.0;7.666666666666667;7.666666666666667;7.666666666666667;7.666666666666667
T05809;7.75;8.0;6.75;6.75;7.75;7.0;8.25;7.75;8.25
T05816;9.0;8.5;8.0;8.0;8.0;7.5;8.5;8.5;7.5
T05821;6.0;8.0;8.0;6.0;7.0;4.0;8.0;8.0;5.0
T05830;7.0;7.666666666666667;6.0;6.666666666666667;7.0;6.333333333333333;7.0;7.0;7.0
T05879;8.0;9.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T05914;9.2;7.8;7.0;6.2;8.6;3.2;7.6;8.8;7.4
T05953;8.75;8.25;8.0;9.0;9.25;7.25;9.25;7.5;8.75
T05967;10.0;7.666666666666667;7.666666666666667;8.666666666666666;9.333333333333334;7.333333333333333;8.0;9.333333333333334;9.666666666666666
T05995;8.285714285714286;8.714285714285714;8.0;8.0;8.571428571428571;8.142857142857142;8.571428571428571;8.285714285714286;8.142857142857142
T05997;10.0;10.0;9.5;10.0;10.0;7.5;9.0;10.0;10.0
T06008;8.0;8.0;3.0;8.0;3.0;7.0;7.0;8.0;8.0
T06016;8.0;6.6;6.2;6.0;8.0;6.8;8.4;7.8;8.4
T06096;8.833333333333334;8.166666666666666;8.166666666666666;8.666666666666666;8.666666666666666;8.333333333333334;8.5;8.833333333333334;8.166666666666666
T06131;9.0;10.0;5.666666666666667;5.666666666666667;9.666666666666666;7.333333333333333;7.333333333333333;9.666666666666666;9.333333333333334
T06178;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5
T06187;10.0;9.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T06200;9.0;9.0;8.0;8.0;9.0;7.0;8.0;9.0;9.0
T06209;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T06253;9.0;9.333333333333334;8.666666666666666;9.333333333333334;9.333333333333334;8.333333333333334;9.333333333333334;8.333333333333334;8.666666666666666
T06336;9.666666666666666;9.666666666666666;7.666666666666667;9.0;9.333333333333334;8.666666666666666;8.666666666666666;10.0;8.333333333333334
T06341;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T06358;8.0;8.25;7.0;7.0;8.25;7.5;8.25;8.0;8.0
T06381;10.0;10.0;7.0;8.666666666666666;10.0;9.0;10.0;10.0;9.0
T06425;10.0;10.0;4.0;5.0;10.0;0.0;2.0;10.0;9.0
T06435;10.0;8.5;10.0;10.0;10.0;10.0;9.0;10.0;9.5
T06449;9.0;9.0;9.0;8.0;10.0;9.0;9.0;9.0;8.0
T06468;7.666666666666667;7.0;7.333333333333333;7.666666666666667;8.333333333333334;8.0;7.333333333333333;8.0;8.0
T06475;8.0;9.0;7.2;7.8;8.4;8.0;8.0;7.8;7.6
T06486;6.5;6.5;7.0;7.0;6.5;6.5;7.0;6.0;6.0
T06542;8.4;8.4;7.6;7.8;8.4;7.2;8.0;8.0;8.6
T06552;10.0;10.0;10.0;10.0;10.0;7.5;10.0;10.0;7.5
T06575;6.666666666666667;4.0;3.1666666666666665;5.833333333333333;4.333333333333333;5.666666666666667;5.333333333333333;5.666666666666667;4.333333333333333
T06583;9.0;8.0;7.5;7.5;8.0;6.5;8.0;9.0;8.0
T06610;9.5;9.5;9.0;10.0;10.0;8.0;10.0;9.5;9.5
T06619;8.0;7.75;7.25;7.625;8.375;8.0;8.375;7.625;8.0
T06638;8.5;8.666666666666666;8.0;8.333333333333334;8.333333333333334;7.333333333333333;8.333333333333334;7.833333333333333;8.166666666666666
T06661;8.75;8.25;8.5;8.75;9.0;7.25;8.75;8.75;8.25
T06682;8.6;8.0;7.2;7.2;7.8;5.2;8.0;7.4;9.0
T06684;7.25;8.0;7.5;7.5;8.5;7.0;7.5;7.75;8.0
T06731;10.0;10.0;10.0;10.0;10.0;8.0;10.0;10.0;10.0
T06816;8.0;8.0;7.2;7.4;7.8;7.8;8.6;8.0;7.8
T06883;8.0;10.0;9.75;8.75;7.5;6.0;8.75;8.0;9.75
T06914;9.25;9.0;8.25;8.0;9.25;9.25;9.25;9.25;9.0
T06925;7.5;7.75;7.25;7.375;7.5;7.125;7.5;7.5;6.75
T06961;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T07049;9.333333333333334;9.0;8.666666666666666;9.0;9.333333333333334;8.666666666666666;9.333333333333334;9.0;8.666666666666666
T07145;8.75;8.75;9.25;8.75;8.75;8.75;7.75;8.75;8.75
T07174;9.0;9.0;8.666666666666666;9.0;9.0;7.333333333333333;9.666666666666666;9.0;7.333333333333333
T07244;9.5;8.5;8.333333333333334;8.333333333333334;9.5;8.833333333333334;9.166666666666666;9.166666666666666;9.333333333333334
T07272;7.5;8.0;7.25;7.25;7.0;6.75;7.25;7.25;7.0
T07296;8.5;8.666666666666666;7.5;7.833333333333333;8.833333333333334;7.666666666666667;8.5;8.333333333333334;7.833333333333333
T07300;6.5;6.5;6.0;7.5;7.5;5.0;7.5;6.5;7.0
T07389;9.0;9.166666666666666;8.166666666666666;8.166666666666666;9.0;9.166666666666666;9.166666666666666;8.833333333333334;9.0
T07396;9.166666666666666;9.333333333333334;8.5;8.666666666666666;9.166666666666666;7.833333333333333;9.166666666666666;9.0;9.0
T07402;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T07413;10.0;10.0;10.0;10.0;10.0;8.75;10.0;10.0;10.0
T07422;8.0;8.75;7.25;7.75;8.5;7.0;8.0;8.0;7.75
T07446;8.0;7.5;7.5;8.0;7.5;7.5;7.0;8.0;7.0
T07457;10.0;10.0;8.5;10.0;10.0;10.0;10.0;9.0;9.0
T07472;8.0;7.833333333333333;7.666666666666667;8.0;8.333333333333334;8.333333333333334;8.0;8.0;8.166666666666666
T07483;10.0;8.0;9.0;9.0;8.0;5.0;10.0;8.0;9.0
T07499;8.0;9.5;8.0;8.5;8.5;8.0;8.0;9.0;9.0
T07504;8.25;7.0;8.25;8.25;8.0;7.75;8.25;8.25;8.25
T07537;9.5;9.25;9.5;9.5;9.5;9.25;9.5;8.75;8.5
T07542;10.0;7.0;7.0;7.0;9.0;8.0;10.0;10.0;8.0
T07543;8.75;8.25;8.0;8.25;7.0;7.75;8.5;8.75;7.75
T07544;10.0;10.0;10.0;10.0;10.0;8.0;10.0;10.0;10.0
T07562;7.0;7.0;6.0;8.0;0.0;8.0;8.0;9.0;7.0
T07578;7.5;6.5;7.25;8.5;7.25;6.75;7.75;7.5;5.25
T07589;7.4;7.8;7.4;7.4;7.6;6.8;8.0;7.4;7.6
T07602;9.0;9.2;8.8;9.0;9.0;9.0;8.8;9.0;9.0
T07614;8.2;8.4;8.2;8.0;7.2;7.0;8.0;8.2;8.4
T07621;8.25;8.25;7.5;7.5;8.75;8.25;7.75;8.75;7.75
T07650;9.75;9.5;8.5;8.75;9.5;7.75;8.0;9.75;9.75
T07654;9.333333333333334;9.333333333333334;7.333333333333333;8.666666666666666;10.0;6.666666666666667;8.666666666666666;8.333333333333334;8.333333333333334
T07665;9.0;8.333333333333334;8.0;9.666666666666666;9.0;8.333333333333334;10.0;9.0;9.666666666666666
T07673;9.75;10.0;9.25;9.25;10.0;9.5;10.0;9.5;10.0
T07677;7.5;7.5;8.333333333333334;8.333333333333334;8.0;7.666666666666667;8.5;7.333333333333333;8.166666666666666
T07682;6.0;6.0;7.0;7.0;4.0;6.0;9.0;4.0;8.0
T07684;8.25;8.0;7.75;8.25;7.5;7.25;8.25;8.25;8.75
T07726;9.0;9.25;9.75;9.75;9.0;9.0;9.25;9.25;9.25
T07742;8.333333333333334;8.5;8.0;8.5;8.666666666666666;8.0;8.5;8.166666666666666;8.833333333333334
T07748;8.75;8.875;8.625;8.75;8.375;8.125;8.0;8.75;8.625
T07762;5.0;7.0;8.0;8.0;10.0;6.0;0.0;7.0;9.0
T07781;8.75;8.0;8.25;8.0;8.75;7.75;8.5;8.75;8.5
T07784;6.0;5.0;4.0;5.0;5.0;5.0;7.0;6.0;5.0
T07800;8.0;7.75;8.0;8.0;8.25;7.75;7.75;8.0;8.5
T07810;8.4;8.2;8.0;8.0;8.2;8.2;8.2;8.2;7.6
T07814;7.0;8.5;7.0;6.5;9.0;6.0;6.0;7.5;8.0
T07826;9.4;8.2;7.4;8.2;6.8;8.8;9.2;9.4;8.4
T07849;6.333333333333333;6.0;5.0;6.0;7.0;7.0;8.666666666666666;3.6666666666666665;6.666666666666667
T07880;7.666666666666667;7.666666666666667;7.666666666666667;7.666666666666667;7.666666666666667;6.333333333333333;7.666666666666667;7.666666666666667;8.0
T07884;7.666666666666667;7.666666666666667;7.333333333333333;7.0;8.0;7.333333333333333;7.333333333333333;7.0;6.0
T07885;1.0;2.0;8.0;1.0;0.0;0.0;1.0;0.0;8.0
T07888;9.25;9.25;9.25;9.75;9.25;9.0;9.5;9.0;9.5
T07890;7.888888888888889;8.333333333333334;8.222222222222221;8.444444444444445;8.333333333333334;6.888888888888889;8.222222222222221;7.888888888888889;8.222222222222221
T07903;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
