CD_CLIENTE;DS_PROD_MODA;DS_LIN_REC_MODA;CIDADE;DS_CNAE;DS_SEGMENTO;DS_SUBSEGMENTO;MARCA_TOTVS_MODA;MODAL_COMERC_MODA;PAIS;PERIODICIDADE_MODA;UF;VL_TOTAL_CONTRATO_SOMA;FAIXA_VLR_TOT_SOMA_CONTRATOS;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M;CLUSTER_3;CLUSTER_4;CLUSTER_5;CLUSTER_6;telemetria_moduloid_moda;telemetria_productlineid_moda;telemetria_slotid_moda;telemetria_statuslicenca_moda;telemetria_contagem;NR_PROPOSTA_count;ITEM_PROPOSTA_agg_moda;HOSPEDAGEM_agg_moda;FAT_FAIXA_agg_moda;CD_PROD_agg_moda;QTD_median;QTD_sum;VL_PCT_DESC_TEMP_median;VL_PCT_DESC_TEMP_sum;VL_PCT_DESCONTO_median;VL_PCT_DESCONTO_sum;PRC_UNITARIO_median;PRC_UNITARIO_sum;VL_DESCONTO_TEMPORARIO_median;VL_DESCONTO_TEMPORARIO_sum;VL_TOTAL_median;VL_TOTAL_sum;VL_FULL_median;VL_FULL_sum;VL_DESCONTO_median;VL_DESCONTO_sum;MRR_12M_median;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
T00255;SMS TOTVS TEC USER;CDU TOTVS SERIE T;NOVAODESSA;Fabricacao de tecidos especiais, inclusive artefatos;MANUFATURA;BENS DE CONSUMO;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;8066.23;0.0-0.5M;4619;0.0;0.0;0;2;3;2;516.0;3.0;0.0;Desconectado;1261.0;;;;;;;;;;;;;;;;;;;;;;688.87;7.5;7.5;8.5;7.5;6.5;6.5;9.0;7.5;7.5
T00292;TOTVS TEC USER;CDU TOTVS SERIE T;FLORIANOPOLIS;Transporte rodoviario coletivo de passageiros, com itinerario fixo, intermunicipal, exceto em regiao metropolitana;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;21692.4;0.0-0.5M;7886;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;181.29;9.5;9.5;9.0;9.0;9.5;9.0;9.0;9.5;9.5
T00336;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de cronometros e relogios;MANUFATURA;BENS DURAVEIS;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;223983.08;0.0-0.5M;8790;3.0;546.19;0;2;0;3;5.0;2.0;4000.0;Desconectado;11197.0;2.0;1.0;ON PREMISES;Faixa 08 - De 150 M ate 300 M;1131001030-6;1.0;2.0;0.0;0.0;0.0;0.0;8611.75;17223.5;0.0;0.0;8611.75;17223.5;8611.75;17223.5;0.0;0.0;2501.36;8.75;8.75;8.75;8.75;8.75;8.75;8.75;8.75;8.75
T00361;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SAOPAULO;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;SERVICOS;PROVEDOR SERVICOS;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1440.92;0.0-0.5M;1439;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;41.82;;;;;;;;;
T00390;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SOROCABA;Fabricacao de aviamentos para costura;MANUFATURA;BENS DURAVEIS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;5814.38;0.0-0.5M;11527;0.0;0.0;0;2;3;2;2.0;2.0;4000.0;Desconectado;1761.0;;;;;;;;;;;;;;;;;;;;;;2950.07;8.75;8.5;9.0;8.25;8.0;7.75;8.5;8.5;8.75
T00538;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;CACHOEIRODEITAPEMIRIM;Aparelhamento de placas e execucao de trabalhos em marmore, granito, ardosia e outras pedras;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;ES;137709.45;0.0-0.5M;5507;0.0;0.0;0;2;3;2;520.0;3.0;0.0;Desconectado;14385.0;;;;;;;;;;;;;;;;;;;;;;1186.83;9.33;9.83;8.83;9.0;9.33;8.5;9.17;9.0;8.83
T00546;CDU LGT G CAP HUMANO TRAD;SMS TOTVS SERIE T;MOGIDASCRUZES;Metalurgia do po;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;17430.91;0.0-0.5M;11398;0.0;0.0;0;2;3;2;523.0;3.0;0.0;Desconectado;490.0;;;;;;;;;;;;;;;;;;;;;;147.88;;;;;;;;;
T00631;SMS TOTVS TEC USER;CDU TOTVS SERIE T;RIOGRANDEDASERRA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;20791.13;0.0-0.5M;9789;0.0;0.0;0;2;3;2;9.0;2.0;4134.0;;6.0;;;;;;;;;;;;;;;;;;;;;;307.98;9.6;9.6;9.2;9.2;8.4;7.8;8.8;9.0;9.0
T00673;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Fabricacao de outros produtos quimicos inorganicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;40577.97;0.0-0.5M;8299;1.0;6782.37;0;2;3;2;6.0;2.0;4000.0;Desconectado;3707.0;4.0;1.0;ON PREMISES;Faixa 03 - De 15 M ate 25 M;0111053007;1.0;4.0;0.0;0.0;13.45;53.81;240.29;6782.37;0.0;0.0;240.29;6782.37;338.87;13031.35;98.58;6248.98;399.79;8.5;8.5;7.5;7.5;8.0;7.5;9.0;9.0;8.5
T00686;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;VINHEDO;Fabricacao de adesivos e selantes;MANUFATURA;QUIMICA & RECICLAGEM;MANUFATURA - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;501943.58;0.5-1.0M;11527;3.0;0.26;0;2;0;3;5553.0;6.0;4000.0;Desconectado;147.0;2.0;1.0;ON PREMISES;Faixa 09 - De 300 M ate 500 M;1131001030-6;1.0;2.0;0.0;0.0;0.0;0.0;15251.37;30502.75;0.0;0.0;15251.37;30502.75;15251.37;30502.75;0.0;0.0;2981.31;8.0;8.67;8.0;8.33;8.67;8.0;8.0;8.0;8.0
T00737;CDU MNT ATIVOS NG TRAD;SOFTWARE COMPLEMENTAR;SAOPAULO;Fabricacao de artefatos de material plastico para usos industriais;MANUFATURA;METAL-MECANICO & PLASTICO;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;6560748.62;6.5-7.0M;12436;0.0;0.0;2;0;1;0;2.0;2.0;4000.0;Desconectado;1923.0;;;;;;;;;;;;;;;;;;;;;;;9.0;8.67;7.67;9.33;8.33;6.67;8.0;9.0;6.67
T00788;SMS TOTVS TEC USER;SMS TOTVS SERIE T;JAGUARIUNA;Desenvolvimento de programas de computador sob encomenda;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;282437.7;0.0-0.5M;5654;0.0;0.0;0;2;0;3;520.0;3.0;0.0;Desconectado;8930.0;;;;;;;;;;;;;;;;;;;;;;671.42;;;;;;;;;
T00831;CA.Adic.CsU;CDU TOTVS SERIE T;BELOHORIZONTE;Seguros de vida;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;120952.82;0.0-0.5M;12517;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T00931;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;DIADEMA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;SERVICOS DE IMPLANTACAO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;590.91;0.0-0.5M;9918;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;306.84;7.0;7.67;6.67;7.0;7.0;7.33;7.33;7.0;5.33
T00953;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Restaurantes e similares;VAREJO;VAREJO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;64837.47;0.0-0.5M;11527;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.8;8.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8
T00971;SMS TOTVS TEC USER;SMS TOTVS SERIE T;PORTOALEGRE;Fabricacao de perifericos para equipamentos de informatica;MANUFATURA;BENS DURAVEIS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;18804.27;0.0-0.5M;9594;1.0;33.14;0;2;3;2;6.0;2.0;4024.0;Desconectado;1156.0;;;;;;;;;;;;;;;;;;;;;;449.46;9.67;9.0;9.0;9.0;8.67;8.67;9.0;9.0;8.0
T01008;TOTVS TEC USER;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;90188.53;0.0-0.5M;11527;0.0;0.0;0;2;3;2;5.0;2.0;4016.0;Desconectado;1566.0;;;;;;;;;;;;;;;;;;;;;;3024.92;;;;;;;;;
T01060;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;CURITIBA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;19640.85;0.0-0.5M;5564;0.0;0.0;0;2;3;2;2.0;2.0;0.0;Desconectado;1821.0;;;;;;;;;;;;;;;;;;;;;;260.96;8.0;6.33;6.67;6.33;6.67;6.0;7.33;8.0;7.33
T01085;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPINAS;Fabricacao de artigos de metal para uso domestico e pessoal;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;50647.53;0.0-0.5M;4875;1.0;171.52;0;2;3;2;200.0;2.0;0.0;Desconectado;992.0;2.0;5.0;ON PREMISES;Faixa 07 - De 75 M ate 150 M;2010067-2;60.0;120.0;0.0;0.0;6.31;12.61;94.07;188.14;0.0;0.0;4913.57;9827.13;4913.55;9827.11;867.1;1734.2;186.57;8.0;8.0;9.0;8.0;8.5;7.5;9.0;8.0;8.0
T01104;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;MURIAE;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;BACKOFFICE - PARCEIRO;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;151927.73;0.0-0.5M;7559;1.0;3369.18;0;2;3;2;33.0;2.0;0.0;Desconectado;5547.0;1.0;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;5J16040282;50.0;50.0;0.0;0.0;0.0;0.0;67.38;67.38;0.0;0.0;3369.18;3369.18;0.21;0.21;0.0;0.0;189.5;9.5;9.0;9.5;9.5;9.5;9.5;9.5;9.5;9.5
T01127;SMS TOTVS TEC USER;SAAS SERIE T;DIADEMA;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;31453.89;0.0-0.5M;10232;1.0;4171.19;0;2;3;2;5.0;2.0;4000.0;Desconectado;542.0;11.0;1.0;ON PREMISES;Faixa 00 - Ate 4.5 M;AUT.01.000590;1.0;351.0;0.0;0.0;7.59;92.96;11.14;3536.07;0.0;0.0;167.1;4167.64;203.93;5293.19;42.04;1123.1;302.75;8.5;8.5;7.75;7.75;8.5;6.75;8.5;8.5;8.5
T01134;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOVICENTE;Fabricacao de defensivos agricolas;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;72549.81;0.0-0.5M;9872;1.0;476.14;0;2;3;2;520.0;3.0;0.0;Desconectado;6182.0;7.0;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;2012101-3;9.0;1214.0;0.0;0.0;0.0;19.42;65.12;790.19;0.0;0.0;851.28;81963.07;759.34;102503.68;0.0;21764.79;699.81;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T01173;SMS TOTVS TEC USER;CDU TOTVS SERIE T;VIANA;Fabricacao de produtos … base de cafe;MANUFATURA;BENS DE CONSUMO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;56742.72;0.0-0.5M;9253;0.0;0.0;0;2;3;2;2.0;2.0;4000.0;Desconectado;5380.0;;;;;;;;;;;;;;;;;;;;;;621.73;6.0;7.8;5.6;6.0;7.0;5.8;7.0;6.0;6.4
T01205;SMS TOTVS TEC USER;SMS TOTVS SERIE T;CUSTODIA;Fabricacao de outros produtos alimenticios nao especificados anteriormente;MANUFATURA;BENS DE CONSUMO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;66370.4;0.0-0.5M;8677;0.0;0.0;0;2;3;2;5.0;2.0;4000.0;Desconectado;5216.0;;;;;;;;;;;;;;;;;;;;;;746.43;7.67;8.17;7.17;7.33;7.33;7.0;8.17;7.5;7.33
T01254;PROG OPED STUDIO ND USR MNT;CLOUD COMPUTING.;CONTAGEM;Fabricacao de transformadores, indutores, conversores, sincronizadores e semelhantes, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CLOUD;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;31915.84;0.0-0.5M;6870;1.0;0.04;0;2;3;2;5629.0;6.0;4000.0;Desconectado;1471.0;;;;;;;;;;;;;;;;;;;;;;438.55;8.5;8.5;8.5;8.5;8.5;7.75;8.25;8.5;8.5
T01259;CONS TEF MULTILOJA;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;30385.36;0.0-0.5M;4312;3.0;12070.21;0;2;3;2;738.0;9.0;3502.0;Desconectado;9926.0;4.0;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;AUT.05.000005;5.5;312.0;0.0;0.0;3.39;34.64;1576.24;10972.53;0.0;0.0;5385.98;34368.22;5828.86;21886.99;745.55;7432.4;636.04;8.0;9.0;6.67;9.0;9.0;6.33;7.67;9.0;7.33
T01346;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SANTOANDRE;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgencias;SAUDE;HOSPITAIS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;1808.95;0.0-0.5M;10875;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;470.22;8.75;8.75;8.25;8.75;8.75;8.75;8.75;8.75;8.75
T01351;ADESAO TOTVS P;CDU TOTVS SERIE T;PORECATU;Fabricacao de acucar em bruto;AGROINDUSTRIA;SUCROENERGETICO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;41256.26;0.0-0.5M;11272;2.0;6144.01;0;2;3;2;2.0;2.0;4024.0;Desconectado;473.0;9.0;1.0;TOTVS CLOUD;Faixa 08 - De 150 M ate 300 M;2F66001305;1.0;14.0;0.0;22.2;0.0;22.97;415.09;5389.46;0.0;66.56;468.89;6141.77;415.09;8400.35;0.0;3039.66;613.51;9.0;9.0;8.0;8.0;9.0;8.0;8.0;9.0;9.0
T01352;PROGRESS USER 11 CDU;CDU BEMATECH;BARUERI;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;MICRO E PEQUENOS NEGOCIOS (FOOD);MODALIDADE TRADICIONAL;105;00 - Mensal;SP;96343.91;0.0-0.5M;11274;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T01356;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;JAU;Fabricacao de acucar em bruto;AGROINDUSTRIA;SUCROENERGETICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;857.5;0.0-0.5M;5039;0.0;0.0;0;2;3;2;84.0;2.0;4000.0;Desconectado;247.0;;;;;;;;;;;;;;;;;;;;;;699.31;10.0;10.0;9.33;9.67;9.67;10.0;10.0;10.0;9.33
T01384;ARREND E LOCACOES STANDARD;CDU TOTVS SERIE T;UBERLANDIA;Comercio atacadista de mercadorias em geral, sem predominancia de alimentos ou de insumos agropecuarios;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;278468.86;0.0-0.5M;8017;2.0;2134.98;0;2;0;3;43.0;2.0;4171.0;Desconectado;7422.0;4.0;1.0;ON PREMISES;Faixa 09 - De 300 M ate 500 M;2061268;1.0;44.0;0.0;0.0;0.0;11.14;1891.72;16986.39;0.0;0.0;3451.14;20803.32;3989.86;20187.33;0.0;1077.45;2994.3;9.0;9.0;9.0;9.0;9.0;7.0;9.0;9.0;9.0
T01436;CES.DIR. COOP/COM;CDU TOTVS SERIE T;JUNDIAI;Perfuracao e construcao de pocos de agua;CONSTRUCAO E PROJETOS;CONSTRUTORAS;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;411750.43;0.0-0.5M;5540;1.0;38667.75;0;2;0;3;6.0;2.0;4000.0;Desconectado;1683.0;1.0;1.0;ON PREMISES;Faixa 07 - De 75 M ate 150 M;003600000-0;1.0;1.0;0.0;0.0;0.0;0.0;38667.75;38667.75;0.0;0.0;38667.75;38667.75;0.0;0.0;0.0;0.0;22.16;9.67;9.0;9.33;9.67;9.67;7.0;9.33;9.0;8.0
T01440;ASSINATURA MENSAL INTERNET CMN;SMS CMNET HOTAL;ARACAJU;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SE;5898.62;0.0-0.5M;10686;1.0;117.93;0;2;3;2;;;;;;4.0;2.0;ON PREMISES;Faixa 01 - De 4.5 M ate 7.5 M;CMV.004720;5.0;27.0;0.0;0.0;0.0;4.41;61.17;220.78;0.0;0.0;308.18;1669.88;308.18;1636.07;0.0;116.81;273.29;3.75;2.75;2.5;3.0;3.5;3.5;3.75;3.75;3.5
T01487;CDU CORPORATIVO RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;13003.3;0.0-0.5M;11184;2.0;0.01;0;2;3;2;6.0;2.0;4000.0;Desconectado;1359.0;4.0;1.0;ON PREMISES;Faixa 06 - De 50 M ate 75 M;103600022-2;1.0;4.0;0.0;0.0;0.0;0.0;1426.39;5901.28;0.0;0.0;1426.39;5901.28;1426.39;5901.28;0.0;0.0;852.94;9.0;7.75;7.75;8.75;9.5;7.0;8.25;7.0;7.75
T01502;CDU LGT GCH ON-DEMAND 100 TRA;CDU TOTVS SERIE T;PINDORAMA;Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;254287.99;0.0-0.5M;5666;8.0;90580.04;0;2;0;3;5209.0;6.0;0.0;Desconectado;79897.0;19.0;1.0;ON PREMISES;Faixa 07 - De 75 M ate 150 M;0113401002-9;15.0;792.0;0.0;0.0;0.0;39.1;58.45;16927.1;0.0;0.0;1891.73;90289.25;172.36;110590.63;0.0;44001.31;875.92;8.5;9.12;8.12;8.38;8.62;8.12;8.5;8.25;8.12
T01526;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artigos de serralheria, exceto esquadrias;MANUFATURA;BENS DE CAPITAL;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;18524.68;0.0-0.5M;11157;0.0;0.0;0;2;3;2;7.0;2.0;4000.0;Desconectado;26.0;;;;;;;;;;;;;;;;;;;;;;188.54;8.8;9.6;7.2;7.6;7.6;6.2;8.2;8.6;7.8
